image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|73.70%|1.00
https://images.ygoprodeck.com/images/cards/30537973.jpg|Predaplant Spider Orchid|57.90%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|52.60%|2.70
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|52.60%|1.80
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|52.60%|1.30
https://images.ygoprodeck.com/images/cards/96789758.jpg|Aromage Jasmine|47.40%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|47.40%|2.78
https://images.ygoprodeck.com/images/cards/31615285.jpg|Cactus Bouncer|36.80%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|36.80%|2.86
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|31.60%|2.67
https://images.ygoprodeck.com/images/cards/61049315.jpg|Naturia Rosewhip|26.30%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|26.30%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|21.10%|1.50
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|21.10%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|21.10%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|15.80%|2.67
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|15.80%|2.33
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|15.80%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|15.80%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|15.80%|1.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|10.50%|2.50
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|10.50%|2.00
https://images.ygoprodeck.com/images/cards/20174189.jpg|Naturia Bamboo Shoot|10.50%|1.00
https://images.ygoprodeck.com/images/cards/29942771.jpg|Naturia Camellia|10.50%|1.00
https://images.ygoprodeck.com/images/cards/28279365.jpg|Blink Out|10.50%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|10.50%|2.50
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|5.30%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|5.30%|3.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|5.30%|3.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|5.30%|3.00
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|5.30%|2.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|5.30%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|5.30%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|5.30%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|5.30%|1.00
https://images.ygoprodeck.com/images/cards/87170768.jpg|"Contact ""C"""|5.30%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|5.30%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|5.30%|1.00
https://images.ygoprodeck.com/images/cards/59438931.jpg|Ghost Ogre & Snow Rabbit|5.30%|1.00
https://images.ygoprodeck.com/images/cards/96385345.jpg|Rose Paladin|5.30%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|5.30%|2.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|5.30%|2.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|5.30%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|5.30%|1.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|5.30%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|5.30%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|5.30%|1.00
https://images.ygoprodeck.com/images/cards/83266092.jpg|Grave of the Super Ancient Organism|5.30%|3.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|5.30%|1.00
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|5.30%|1.00
https://images.ygoprodeck.com/images/cards/52417194.jpg|Heavy Slump|5.30%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|5.30%|1.00
https://images.ygoprodeck.com/images/cards/3734202.jpg|Naturia Sacred Tree|5.30%|1.00
https://images.ygoprodeck.com/images/cards/68941332.jpg|Rikka Sheet|5.30%|1.00
https://images.ygoprodeck.com/images/cards/6540606.jpg|Spiritual Water Art - Aoi|5.30%|1.00
