image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|100.00%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|78.30%|1.44
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|60.90%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|47.80%|2.54
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|43.50%|2.10
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|34.80%|1.88
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|34.80%|1.25
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|34.80%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|30.40%|1.86
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|30.40%|2.43
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|26.10%|1.33
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|21.70%|2.20
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|21.70%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|21.70%|1.60
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|21.70%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|21.70%|1.00
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|17.40%|2.75
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|17.40%|1.50
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|17.40%|2.25
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|13.00%|2.67
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|13.00%|2.00
https://images.ygoprodeck.com/images/cards/35059553.jpg|Kaiser Colosseum|13.00%|2.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|13.00%|1.33
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|13.00%|2.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|13.00%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|13.00%|1.00
https://images.ygoprodeck.com/images/cards/101206024.jpg||13.00%|2.67
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|8.70%|2.00
https://images.ygoprodeck.com/images/cards/6728559.jpg|Archnemeses Protos|8.70%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|8.70%|3.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|8.70%|2.50
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|8.70%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|8.70%|1.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|8.70%|1.50
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|8.70%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|4.30%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|4.30%|1.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|4.30%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|4.30%|1.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|4.30%|3.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|4.30%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|4.30%|1.00
https://images.ygoprodeck.com/images/cards/30241314.jpg|Macro Cosmos|4.30%|3.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|4.30%|3.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|4.30%|2.00
