image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|79.20%|2.53
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|58.30%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|54.20%|2.62
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|50.00%|2.58
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|45.80%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|45.80%|2.46
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|45.80%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|33.30%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|29.20%|2.86
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|29.20%|2.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|29.20%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|25.00%|2.67
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|20.80%|3.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|20.80%|2.60
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|20.80%|2.40
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|20.80%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|16.70%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|12.50%|2.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|12.50%|1.67
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|12.50%|1.33
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|12.50%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|12.50%|1.33
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|8.30%|1.50
https://images.ygoprodeck.com/images/cards/33212663.jpg|Archnemeses Eschatos|8.30%|1.00
https://images.ygoprodeck.com/images/cards/13890468.jpg|Spiritual Beast Pettlephin|8.30%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|8.30%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|8.30%|2.50
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|4.20%|3.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|4.20%|3.00
https://images.ygoprodeck.com/images/cards/85696777.jpg|Harpie Conductor|4.20%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|4.20%|1.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|4.20%|3.00
https://images.ygoprodeck.com/images/cards/87639778.jpg|Harpie's Feather Storm|4.20%|3.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|4.20%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|4.20%|1.00
