image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/81275020.jpg|Speedroid Terrortop|100.00%|2.89
https://images.ygoprodeck.com/images/cards/53932291.jpg|Speedroid Taketomborg|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|88.90%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|88.90%|2.62
https://images.ygoprodeck.com/images/cards/26889158.jpg|Salamangreat Gazelle|77.80%|3.00
https://images.ygoprodeck.com/images/cards/52155219.jpg|Salamangreat Circle|77.80%|3.00
https://images.ygoprodeck.com/images/cards/11962031.jpg|Salamangreat of Fire|77.80%|2.29
https://images.ygoprodeck.com/images/cards/52277807.jpg|Salamangreat Spinny|77.80%|1.57
https://images.ygoprodeck.com/images/cards/57357130.jpg|Salamangreat Weasel|77.80%|1.29
https://images.ygoprodeck.com/images/cards/51339637.jpg|Salamangreat Roar|77.80%|1.14
https://images.ygoprodeck.com/images/cards/1295111.jpg|Salamangreat Sanctuary|77.80%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|66.70%|2.83
https://images.ygoprodeck.com/images/cards/57160136.jpg|Cynet Mining|66.70%|2.67
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|66.70%|2.17
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|66.70%|1.33
https://images.ygoprodeck.com/images/cards/67225377.jpg|Salamangreat Meer|66.70%|1.00
https://images.ygoprodeck.com/images/cards/56003780.jpg|Salamangreat Jack Jaguar|66.70%|1.00
https://images.ygoprodeck.com/images/cards/94620082.jpg|Salamangreat Foxy|66.70%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|55.60%|2.60
https://images.ygoprodeck.com/images/cards/14934922.jpg|Salamangreat Rage|55.60%|1.00
https://images.ygoprodeck.com/images/cards/16188701.jpg|Lady Debug|44.40%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|33.30%|2.33
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|33.30%|2.00
https://images.ygoprodeck.com/images/cards/64178424.jpg|Will of the Salamangreat|33.30%|1.00
https://images.ygoprodeck.com/images/cards/83533296.jpg|Salamangreat Charge|33.30%|1.00
https://images.ygoprodeck.com/images/cards/74652966.jpg|Code of Soul|33.30%|1.00
https://images.ygoprodeck.com/images/cards/24079759.jpg|Goblin Biker Dugg Charger|22.20%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|22.20%|3.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|22.20%|2.50
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|22.20%|2.50
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|22.20%|2.50
https://images.ygoprodeck.com/images/cards/67723438.jpg|Emergency Teleport|22.20%|2.50
https://images.ygoprodeck.com/images/cards/90711610.jpg|Goblin Biker Grand Entrance|22.20%|2.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|22.20%|2.00
https://images.ygoprodeck.com/images/cards/64257161.jpg|Goblin Biker Mean Merciless|22.20%|1.00
https://images.ygoprodeck.com/images/cards/51473858.jpg|Goblin Biker Clatter Sploder|22.20%|1.00
https://images.ygoprodeck.com/images/cards/27868563.jpg|Goblin Biker Boom Mach|22.20%|1.00
https://images.ygoprodeck.com/images/cards/39733924.jpg|Full-Armored Xyz|22.20%|1.00
https://images.ygoprodeck.com/images/cards/10802915.jpg|Tour Guide From the Underworld|11.10%|3.00
https://images.ygoprodeck.com/images/cards/3233859.jpg|Psychic Wheeleder|11.10%|3.00
https://images.ygoprodeck.com/images/cards/30227494.jpg|Psychic Tracker|11.10%|3.00
https://images.ygoprodeck.com/images/cards/55320758.jpg||11.10%|3.00
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|11.10%|2.00
https://images.ygoprodeck.com/images/cards/29111045.jpg|Goblin Biker Grand Breakout|11.10%|2.00
https://images.ygoprodeck.com/images/cards/8736823.jpg|Virtual World Hime - Nyannyan|11.10%|1.00
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|11.10%|1.00
https://images.ygoprodeck.com/images/cards/86976918.jpg|Speedroid Ultra Hound|11.10%|1.00
https://images.ygoprodeck.com/images/cards/50482813.jpg|Speedroid Fuki-Modoshi Piper|11.10%|1.00
https://images.ygoprodeck.com/images/cards/59640711.jpg|Speedroid Den-Den Daiko Duke|11.10%|1.00
https://images.ygoprodeck.com/images/cards/90946420.jpg|Goblin Biker Grand Pileup|11.10%|1.00
https://images.ygoprodeck.com/images/cards/15094540.jpg|Goblin Biker Grand Crisis|11.10%|1.00
https://images.ygoprodeck.com/images/cards/64327901.jpg|Goblin Biker Grand Bash|11.10%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|11.10%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|11.10%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|11.10%|1.00
