image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.86
https://images.ygoprodeck.com/images/cards/68464358.jpg|Rokket Tracer|100.00%|1.93
https://images.ygoprodeck.com/images/cards/67748760.jpg|Absorouter Dragon|100.00%|1.14
https://images.ygoprodeck.com/images/cards/5969957.jpg|Rokket Recharger|100.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|2.00
https://images.ygoprodeck.com/images/cards/62265044.jpg|Dragon Ravine|100.00%|1.29
https://images.ygoprodeck.com/images/cards/36668118.jpg|Boot Sector Launch|100.00%|1.07
https://images.ygoprodeck.com/images/cards/15381421.jpg|Starliege Seyfert|92.90%|2.92
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|92.90%|2.77
https://images.ygoprodeck.com/images/cards/99234526.jpg|White Dragon Wyverburster|92.90%|2.23
https://images.ygoprodeck.com/images/cards/61901281.jpg|Black Dragon Collapserpent|92.90%|1.31
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|92.90%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|92.90%|1.00
https://images.ygoprodeck.com/images/cards/67127799.jpg|Rokket Caliber|92.90%|1.00
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|92.90%|1.00
https://images.ygoprodeck.com/images/cards/99266988.jpg|Chaos Space|92.90%|3.00
https://images.ygoprodeck.com/images/cards/31443476.jpg|Quick Launch|92.90%|2.92
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|92.90%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|85.70%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|85.70%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|78.60%|2.54
https://images.ygoprodeck.com/images/cards/70333910.jpg|Noctovision Dragon|42.90%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|42.90%|1.67
https://images.ygoprodeck.com/images/cards/93969023.jpg|Black Metal Dragon|35.70%|3.00
https://images.ygoprodeck.com/images/cards/55878038.jpg|Chaos Dragon Levianeer|35.70%|1.00
https://images.ygoprodeck.com/images/cards/88264978.jpg|Red-Eyes Darkness Metal Dragon|35.70%|1.00
https://images.ygoprodeck.com/images/cards/32756828.jpg|Branded Beast|35.70%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|28.60%|2.00
https://images.ygoprodeck.com/images/cards/27657173.jpg|Red-Eyes Black Meteor Dragon|28.60%|1.00
https://images.ygoprodeck.com/images/cards/33750025.jpg|Samsara Dragon|28.60%|1.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|28.60%|2.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|28.60%|2.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|21.40%|1.67
https://images.ygoprodeck.com/images/cards/26577155.jpg|Dragunity Remus|21.40%|1.00
https://images.ygoprodeck.com/images/cards/26655293.jpg|Magnarokket Dragon|21.40%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|21.40%|1.00
https://images.ygoprodeck.com/images/cards/94145022.jpg|Droll & Lock Bird|14.30%|1.50
https://images.ygoprodeck.com/images/cards/89172051.jpg|Dragunity Legatus|14.30%|1.00
https://images.ygoprodeck.com/images/cards/8972398.jpg|Omni Dragon Brotaur|14.30%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|14.30%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|14.30%|1.00
https://images.ygoprodeck.com/images/cards/87151205.jpg|Wattaildragon|14.30%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|14.30%|3.00
https://images.ygoprodeck.com/images/cards/41620959.jpg|Dragon Shrine|14.30%|1.00
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|7.10%|3.00
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|7.10%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|7.10%|2.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|7.10%|2.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|7.10%|2.00
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|7.10%|2.00
https://images.ygoprodeck.com/images/cards/53804307.jpg|Blaster, Dragon Ruler of Infernos|7.10%|1.00
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|7.10%|1.00
https://images.ygoprodeck.com/images/cards/35059553.jpg|Kaiser Colosseum|7.10%|3.00
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|7.10%|3.00
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|7.10%|3.00
https://images.ygoprodeck.com/images/cards/96127902.jpg|Made to Order Mermaid Outfit Outfitter|7.10%|1.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|7.10%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|7.10%|1.00
