image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/94445733.jpg|Runick Destruction|100.00%|3.00
https://images.ygoprodeck.com/images/cards/68957034.jpg|Runick Flashing Fire|100.00%|3.00
https://images.ygoprodeck.com/images/cards/30430448.jpg|Runick Freezing Curses|100.00%|3.00
https://images.ygoprodeck.com/images/cards/31562086.jpg|Runick Tip|100.00%|3.00
https://images.ygoprodeck.com/images/cards/67835547.jpg|Runick Slumber|100.00%|2.98
https://images.ygoprodeck.com/images/cards/92107604.jpg|Runick Fountain|100.00%|2.00
https://images.ygoprodeck.com/images/cards/93229151.jpg|Runick Smiting Storm|92.50%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|89.60%|2.27
https://images.ygoprodeck.com/images/cards/66712905.jpg|Runick Dispelling|73.10%|1.12
https://images.ygoprodeck.com/images/cards/20618850.jpg|Runick Golden Droplet|65.70%|1.02
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|65.70%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|65.70%|1.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|62.70%|1.86
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|62.70%|1.00
https://images.ygoprodeck.com/images/cards/98645731.jpg|Pot of Duality|61.20%|3.00
https://images.ygoprodeck.com/images/cards/59750328.jpg|Card of Demise|58.20%|1.00
https://images.ygoprodeck.com/images/cards/60306277.jpg|Synchro Zone|50.70%|1.91
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|46.30%|1.77
https://images.ygoprodeck.com/images/cards/32181268.jpg|Amano-Iwato|44.80%|1.93
https://images.ygoprodeck.com/images/cards/33782437.jpg|One Day of Peace|41.80%|1.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|38.80%|1.00
https://images.ygoprodeck.com/images/cards/98385955.jpg|Silvy of the White Forest|31.30%|2.95
https://images.ygoprodeck.com/images/cards/61980241.jpg|Elzette of the White Forest|31.30%|2.86
https://images.ygoprodeck.com/images/cards/24779554.jpg|Rucia of the White Forest|31.30%|2.52
https://images.ygoprodeck.com/images/cards/77066768.jpg|Card Scanner|31.30%|1.00
https://images.ygoprodeck.com/images/cards/62995268.jpg|Woes of the White Forest|31.30%|1.14
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|25.40%|3.00
https://images.ygoprodeck.com/images/cards/83266092.jpg|Grave of the Super Ancient Organism|25.40%|1.53
https://images.ygoprodeck.com/images/cards/70368879.jpg|Upstart Goblin|22.40%|2.53
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|20.90%|1.57
https://images.ygoprodeck.com/images/cards/44656491.jpg|Messenger of Peace|19.40%|2.15
https://images.ygoprodeck.com/images/cards/19403423.jpg|Time-Tearing Morganite|19.40%|1.08
https://images.ygoprodeck.com/images/cards/67616300.jpg|Chicken Game|19.40%|1.00
https://images.ygoprodeck.com/images/cards/15397015.jpg|Inspector Boarder|16.40%|2.27
https://images.ygoprodeck.com/images/cards/99289828.jpg|Tales of the White Forest|16.40%|1.00
https://images.ygoprodeck.com/images/cards/76721030.jpg|Tyrant's Tirade|14.90%|1.60
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|7.50%|1.00
https://images.ygoprodeck.com/images/cards/76145933.jpg|Spright Blue|6.00%|2.50
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|6.00%|1.75
https://images.ygoprodeck.com/images/cards/75922381.jpg|Spright Red|6.00%|1.25
https://images.ygoprodeck.com/images/cards/2311090.jpg|Spright Carrot|6.00%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|6.00%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|6.00%|3.00
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|6.00%|1.75
https://images.ygoprodeck.com/images/cards/79205581.jpg|Scrubbed Raid|6.00%|1.50
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|4.50%|3.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|4.50%|1.33
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|4.50%|1.00
https://images.ygoprodeck.com/images/cards/73594093.jpg|Metalfoes Fusion|4.50%|1.00
https://images.ygoprodeck.com/images/cards/93723936.jpg||4.50%|1.00
https://images.ygoprodeck.com/images/cards/28004531.jpg|Rex, Freight Fur Hire|3.00%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|3.00%|2.00
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|3.00%|2.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|3.00%|1.50
https://images.ygoprodeck.com/images/cards/13533678.jpg|Spright Jet|3.00%|1.50
https://images.ygoprodeck.com/images/cards/65504487.jpg|Toy Soldier|3.00%|1.50
https://images.ygoprodeck.com/images/cards/25592142.jpg|Astellar of the White Forest|3.00%|1.00
https://images.ygoprodeck.com/images/cards/93850652.jpg|Beat, Bladesman Fur Hire|3.00%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|3.00%|1.00
https://images.ygoprodeck.com/images/cards/94073244.jpg|Donpa, Marksman Fur Hire|3.00%|1.00
https://images.ygoprodeck.com/images/cards/38916526.jpg|Rafale, Champion Fur Hire|3.00%|1.00
https://images.ygoprodeck.com/images/cards/69925461.jpg|Toy Tank|3.00%|1.00
https://images.ygoprodeck.com/images/cards/47325505.jpg|Fossil Dig|3.00%|3.00
https://images.ygoprodeck.com/images/cards/15443125.jpg|Spright Starter|3.00%|2.00
https://images.ygoprodeck.com/images/cards/24878656.jpg|Toy Box|3.00%|2.00
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|3.00%|1.00
https://images.ygoprodeck.com/images/cards/48214588.jpg|Rookie Fur Hire|3.00%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|3.00%|1.50
https://images.ygoprodeck.com/images/cards/69811710.jpg|Girsu, the Orcust Mekk-Knight|1.50%|3.00
https://images.ygoprodeck.com/images/cards/70744296.jpg|Ipiria|1.50%|3.00
https://images.ygoprodeck.com/images/cards/73810864.jpg|Live☆Twin Lil-la|1.50%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|1.50%|3.00
https://images.ygoprodeck.com/images/cards/57835716.jpg|Orcust Harp Horror|1.50%|3.00
https://images.ygoprodeck.com/images/cards/19619755.jpg|Performapal Five-Rainbow Magician|1.50%|3.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|1.50%|2.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|1.50%|2.00
https://images.ygoprodeck.com/images/cards/41855169.jpg|Jowgen the Spiritualist|1.50%|1.00
https://images.ygoprodeck.com/images/cards/36326160.jpg|Live☆Twin Ki-sikil|1.50%|1.00
https://images.ygoprodeck.com/images/cards/54257392.jpg|Live☆Twin Ki-sikil Frost|1.50%|1.00
https://images.ygoprodeck.com/images/cards/21441617.jpg|Orcust Cymbal Skeleton|1.50%|1.00
https://images.ygoprodeck.com/images/cards/4055337.jpg|Orcust Knightmare|1.50%|1.00
https://images.ygoprodeck.com/images/cards/93920420.jpg|"World Legacy - ""World Wand"""|1.50%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|1.50%|3.00
https://images.ygoprodeck.com/images/cards/37582948.jpg|Live☆Twin Sunny's Snitch|1.50%|3.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|1.50%|2.00
https://images.ygoprodeck.com/images/cards/26845680.jpg|Orcustrated Return|1.50%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|1.50%|1.00
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|1.50%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|1.50%|1.00
https://images.ygoprodeck.com/images/cards/88836438.jpg|Spright Smashers|1.50%|1.00
https://images.ygoprodeck.com/images/cards/82956214.jpg|Dogmatika Punishment|1.50%|3.00
