image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|58.30%|3.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|58.30%|3.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|58.30%|3.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|41.70%|2.60
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|41.70%|2.20
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|25.00%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|25.00%|2.33
https://images.ygoprodeck.com/images/cards/83266092.jpg|Grave of the Super Ancient Organism|25.00%|2.33
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|16.70%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|16.70%|3.00
https://images.ygoprodeck.com/images/cards/15397015.jpg|Inspector Boarder|16.70%|1.50
https://images.ygoprodeck.com/images/cards/40975574.jpg|Red Resonator|16.70%|1.00
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|16.70%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|16.70%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|16.70%|1.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|8.30%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|8.30%|3.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|8.30%|3.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|8.30%|3.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|8.30%|2.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|8.30%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|8.30%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|8.30%|1.00
https://images.ygoprodeck.com/images/cards/4227096.jpg|Mistaken Arrest|8.30%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|8.30%|3.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|8.30%|3.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|8.30%|2.00
https://images.ygoprodeck.com/images/cards/43711255.jpg|Prohibition|8.30%|2.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|8.30%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|8.30%|3.00
https://images.ygoprodeck.com/images/cards/77538567.jpg|Dark Bribe|8.30%|2.00
https://images.ygoprodeck.com/images/cards/62995268.jpg|Woes of the White Forest|8.30%|2.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|8.30%|1.00
https://images.ygoprodeck.com/images/cards/58851034.jpg|Cursed Seal of the Forbidden Spell|8.30%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|8.30%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|8.30%|1.00
https://images.ygoprodeck.com/images/cards/93723936.jpg|Scourge of the White Forest|8.30%|1.00
