image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/70636044.jpg|Varudras, the Final Bringer of the End Times|100.00%|3.00
https://images.ygoprodeck.com/images/cards/23656668.jpg|Gravity Controller|100.00%|2.00
https://images.ygoprodeck.com/images/cards/49032236.jpg|Number 81: Superdreadnought Rail Cannon Super Dora|100.00%|2.00
https://images.ygoprodeck.com/images/cards/56910167.jpg|Superdreadnought Rail Cannon Gustav Max|100.00%|2.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|100.00%|1.00
https://images.ygoprodeck.com/images/cards/75452921.jpg|Knightmare Cerberus|100.00%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|100.00%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|100.00%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|100.00%|1.00
https://images.ygoprodeck.com/images/cards/57282724.jpg|World Gears of Theurlogical Demiurgy|100.00%|1.00
