image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/6798031.jpg|Ryzeal Cross|100.00%|1.32
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|100.00%|1.00
https://images.ygoprodeck.com/images/cards/8633261.jpg|Ice Ryzeal|100.00%|3.00
https://images.ygoprodeck.com/images/cards/35844557.jpg|Sword Ryzeal|100.00%|3.00
https://images.ygoprodeck.com/images/cards/34022970.jpg|Ext Ryzeal|100.00%|2.87
https://images.ygoprodeck.com/images/cards/72238166.jpg|Node Ryzeal|100.00%|1.01
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|98.70%|2.00
https://images.ygoprodeck.com/images/cards/60394026.jpg|Ryzeal Plugin|98.70%|1.01
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|97.50%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|97.50%|2.95
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|93.70%|2.00
https://images.ygoprodeck.com/images/cards/7477101.jpg|Seventh Tachyon|93.70%|2.88
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|89.90%|1.00
https://images.ygoprodeck.com/images/cards/33787730.jpg|Ryzeal Plasma Hole|83.50%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|82.30%|2.62
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|75.90%|2.72
https://images.ygoprodeck.com/images/cards/23153227.jpg|Seventh Ascension|68.40%|2.09
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|63.30%|1.68
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|58.20%|1.35
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|46.80%|1.73
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|39.20%|1.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|30.40%|1.79
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|29.10%|1.96
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|27.80%|2.32
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|21.50%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|15.20%|1.92
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|12.70%|1.70
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|10.10%|2.62
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|7.60%|2.17
https://images.ygoprodeck.com/images/cards/67972302.jpg|Sakitama|7.60%|1.67
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|5.10%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|5.10%|3.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|5.10%|2.50
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|3.80%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|3.80%|1.67
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|3.80%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|3.80%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|2.50%|2.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|2.50%|1.00
https://images.ygoprodeck.com/images/cards/36521307.jpg|Mathmech Circular|2.50%|1.00
https://images.ygoprodeck.com/images/cards/17946349.jpg|Mathmech Diameter|2.50%|1.00
https://images.ygoprodeck.com/images/cards/53577438.jpg|Mathmech Nabla|2.50%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|2.50%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|2.50%|1.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|2.50%|3.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|2.50%|2.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|2.50%|1.00
