image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|89.50%|2.15
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|82.90%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|81.90%|2.58
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|68.60%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|61.90%|2.85
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|47.60%|1.74
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|39.00%|2.56
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|35.20%|1.38
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|35.20%|2.65
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|32.40%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|25.70%|1.93
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|21.90%|2.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|17.10%|2.50
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|16.20%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|16.20%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|14.30%|1.93
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|12.40%|1.54
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|12.40%|1.77
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|11.40%|1.33
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|10.50%|2.09
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|7.60%|2.12
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|6.70%|2.00
https://images.ygoprodeck.com/images/cards/6798031.jpg|Ryzeal Cross|6.70%|1.00
https://images.ygoprodeck.com/images/cards/12682213.jpg|Iron Thunder|6.70%|2.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|5.70%|1.67
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|4.80%|2.20
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|4.80%|1.60
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|3.80%|1.50
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|3.80%|1.25
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|2.90%|2.67
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|2.90%|1.33
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|2.90%|1.00
https://images.ygoprodeck.com/images/cards/67173574.jpg|Number C102: Archfiend Seraph|1.90%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|1.90%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|1.90%|1.00
https://images.ygoprodeck.com/images/cards/164710.jpg|Mischief of the Gnomes|1.90%|1.50
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|1.90%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|1.90%|1.00
https://images.ygoprodeck.com/images/cards/62015408.jpg|Ghost Reaper & Winter Cherries|1.00%|3.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|1.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|1.00%|2.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|1.00%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|1.00%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|1.00%|1.00
https://images.ygoprodeck.com/images/cards/62098216.jpg|Evil★Twins Ki-sikil & Lil-la|1.00%|1.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|1.00%|3.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|1.00%|1.00
https://images.ygoprodeck.com/images/cards/57734012.jpg|Rank-Up-Magic - The Seventh One|1.00%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|1.00%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|1.00%|1.00
https://images.ygoprodeck.com/images/cards/14883228.jpg|Typhoon|1.00%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|1.00%|2.00
