image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8633261.jpg|Ice Ryzeal|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|2.98
https://images.ygoprodeck.com/images/cards/34022970.jpg|Ext Ryzeal|100.00%|2.95
https://images.ygoprodeck.com/images/cards/35844557.jpg|Sword Ryzeal|100.00%|2.95
https://images.ygoprodeck.com/images/cards/72238166.jpg|Node Ryzeal|100.00%|1.00
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|100.00%|3.00
https://images.ygoprodeck.com/images/cards/6798031.jpg|Ryzeal Cross|100.00%|1.08
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|2.98
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|90.00%|2.69
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|85.00%|2.65
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|83.30%|2.76
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|80.00%|2.90
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|80.00%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|80.00%|1.94
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|78.30%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|75.00%|1.98
https://images.ygoprodeck.com/images/cards/99989863.jpg|Fiendsmith in Paradise|75.00%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|51.70%|1.77
https://images.ygoprodeck.com/images/cards/60394026.jpg|Ryzeal Plugin|43.30%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|35.00%|1.91
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|33.30%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|33.30%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|26.70%|2.62
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|20.00%|2.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|18.30%|1.36
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|18.30%|2.27
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|16.70%|2.30
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|10.00%|1.83
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|10.00%|1.17
https://images.ygoprodeck.com/images/cards/33787730.jpg|Ryzeal Plasma Hole|10.00%|1.00
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|8.30%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|8.30%|2.40
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|8.30%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|8.30%|1.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|5.00%|3.00
https://images.ygoprodeck.com/images/cards/98045062.jpg|Enemy Controller|3.30%|2.50
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|1.70%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|1.70%|1.00
https://images.ygoprodeck.com/images/cards/31149212.jpg|Kashtira Riseheart|1.70%|1.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|1.70%|2.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|1.70%|1.00
https://images.ygoprodeck.com/images/cards/67616300.jpg|Chicken Game|1.70%|1.00
https://images.ygoprodeck.com/images/cards/35552985.jpg|Fiendsmith's Sanct|1.70%|1.00
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|1.70%|1.00
https://images.ygoprodeck.com/images/cards/34447918.jpg|Kashtiratheosis|1.70%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|1.70%|1.00
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|1.70%|1.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|1.70%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|1.70%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|1.70%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|1.70%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|1.70%|3.00
https://images.ygoprodeck.com/images/cards/73599290.jpg|Soul Drain|1.70%|2.00
https://images.ygoprodeck.com/images/cards/31548215.jpg|Gravedigger's Trap Hole|1.70%|1.00
