image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|81.10%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|66.00%|1.71
https://images.ygoprodeck.com/images/cards/35059553.jpg|Kaiser Colosseum|60.40%|2.44
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|60.40%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|50.90%|2.56
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|41.50%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|37.70%|1.55
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|37.70%|2.25
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|35.80%|2.37
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|28.30%|2.20
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|24.50%|1.92
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|22.60%|1.17
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|18.90%|1.60
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|18.90%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|17.00%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|17.00%|2.67
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|15.10%|1.88
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|15.10%|1.12
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|15.10%|1.62
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|13.20%|1.86
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|11.30%|2.17
https://images.ygoprodeck.com/images/cards/27868563.jpg|Goblin Biker Boom Mach|11.30%|1.67
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|11.30%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|11.30%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|11.30%|2.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|9.40%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|9.40%|2.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|7.50%|1.50
https://images.ygoprodeck.com/images/cards/46898368.jpg|Burning Draw|7.50%|1.75
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|5.70%|2.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|5.70%|2.33
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|5.70%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|5.70%|2.67
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|3.80%|2.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|3.80%|2.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|3.80%|2.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|3.80%|2.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|3.80%|1.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|3.80%|2.00
https://images.ygoprodeck.com/images/cards/69452756.jpg|Unending Nightmare|3.80%|1.50
https://images.ygoprodeck.com/images/cards/87126721.jpg|Mulcharmy Meowls|1.90%|3.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|1.90%|3.00
https://images.ygoprodeck.com/images/cards/90361289.jpg|Gizmek Uka, the Festive Fox of Fecundity|1.90%|2.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|1.90%|2.00
https://images.ygoprodeck.com/images/cards/74168099.jpg|Brotherhood of the Fire Fist - Horse Prince|1.90%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|1.90%|1.00
https://images.ygoprodeck.com/images/cards/80794697.jpg|Flame Bufferlo|1.90%|1.00
https://images.ygoprodeck.com/images/cards/52038442.jpg|Ghost Mourner & Moonlit Chill|1.90%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|1.90%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|1.90%|1.00
https://images.ygoprodeck.com/images/cards/20618081.jpg|Salamangreat Falco|1.90%|1.00
https://images.ygoprodeck.com/images/cards/89662401.jpg|Salamangreat Fowl|1.90%|1.00
https://images.ygoprodeck.com/images/cards/6511113.jpg|Traptrix Rafflesia|1.90%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|1.90%|1.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|1.90%|1.00
https://images.ygoprodeck.com/images/cards/83764719.jpg|Monster Reborn|1.90%|1.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|1.90%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|1.90%|2.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|1.90%|2.00
https://images.ygoprodeck.com/images/cards/31548215.jpg|Gravedigger's Trap Hole|1.90%|1.00
https://images.ygoprodeck.com/images/cards/52417194.jpg|Heavy Slump|1.90%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|1.90%|1.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|1.90%|1.00
