image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|67.90%|2.78
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|66.00%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|47.20%|2.60
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|39.60%|2.38
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|37.70%|2.80
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|26.40%|2.50
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|26.40%|1.79
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|24.50%|2.69
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|24.50%|1.15
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|22.60%|1.58
https://images.ygoprodeck.com/images/cards/14934922.jpg|Salamangreat Rage|22.60%|1.08
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|20.80%|2.36
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|20.80%|1.91
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|20.80%|1.18
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|17.00%|2.78
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|17.00%|2.33
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|17.00%|2.11
https://images.ygoprodeck.com/images/cards/59577547.jpg|Salamangreat Parro|15.10%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|13.20%|2.14
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|13.20%|1.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|11.30%|2.33
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|11.30%|2.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|11.30%|1.50
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|7.50%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|7.50%|3.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|7.50%|2.25
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|7.50%|2.25
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|7.50%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|7.50%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|5.70%|3.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|5.70%|2.33
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|5.70%|2.33
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|5.70%|1.33
https://images.ygoprodeck.com/images/cards/51339637.jpg|Salamangreat Roar|5.70%|1.00
https://images.ygoprodeck.com/images/cards/90590304.jpg|Number 41: Bagooska the Terribly Tired Tapir|5.70%|1.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|3.80%|3.00
https://images.ygoprodeck.com/images/cards/83266092.jpg|Grave of the Super Ancient Organism|3.80%|2.50
https://images.ygoprodeck.com/images/cards/46898368.jpg|Burning Draw|3.80%|2.50
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|3.80%|2.00
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|3.80%|1.50
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|3.80%|1.50
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|3.80%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|3.80%|1.00
https://images.ygoprodeck.com/images/cards/36361633.jpg|Threatening Roar|1.90%|3.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|1.90%|3.00
https://images.ygoprodeck.com/images/cards/67234805.jpg|Powersink Stone|1.90%|3.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|1.90%|3.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|1.90%|3.00
https://images.ygoprodeck.com/images/cards/87462901.jpg|Emissary from the House of Wax|1.90%|3.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|1.90%|2.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|1.90%|2.00
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|1.90%|2.00
https://images.ygoprodeck.com/images/cards/69750546.jpg|Volcanic Scattershot|1.90%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|1.90%|1.00
https://images.ygoprodeck.com/images/cards/83533296.jpg|Salamangreat Charge|1.90%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|1.90%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|1.90%|1.00
https://images.ygoprodeck.com/images/cards/83764719.jpg|Monster Reborn|1.90%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|1.90%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|1.90%|1.00
https://images.ygoprodeck.com/images/cards/36956512.jpg|Gadarla, the Mystery Dust Kaiju|1.90%|1.00
https://images.ygoprodeck.com/images/cards/25800447.jpg|Fusion of Fire|1.90%|1.00
https://images.ygoprodeck.com/images/cards/64211118.jpg|Firewall Dragon Darkfluid - Neo Tempest Terahertz|1.90%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|1.90%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|1.90%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|1.90%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|1.90%|1.00
