image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/73898890.jpg|Dyna Mondo|100.00%|1.70
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|100.00%|1.56
https://images.ygoprodeck.com/images/cards/79606837.jpg|Herald of the Arc Light|100.00%|1.35
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|95.70%|1.59
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|87.00%|1.25
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|82.60%|1.05
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|78.30%|1.39
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|78.30%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|73.90%|1.18
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|39.10%|1.22
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|26.10%|1.00
https://images.ygoprodeck.com/images/cards/2220237.jpg|Secure Gardna|26.10%|1.00
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|21.70%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|21.70%|1.00
https://images.ygoprodeck.com/images/cards/98452268.jpg|Odd-Eyes Rebellion Dragon Overlord|17.40%|1.25
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|17.40%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|17.40%|1.00
https://images.ygoprodeck.com/images/cards/98506199.jpg|Wind Pegasus @Ignister|13.00%|1.33
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|13.00%|1.00
https://images.ygoprodeck.com/images/cards/58074177.jpg|Odd-Eyes Wing Dragon|13.00%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|13.00%|1.00
https://images.ygoprodeck.com/images/cards/93125329.jpg|Golden Cloud Beast - Malong|8.70%|1.50
https://images.ygoprodeck.com/images/cards/53971455.jpg|Despian Luluwalilith|8.70%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|8.70%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|8.70%|1.00
https://images.ygoprodeck.com/images/cards/83656563.jpg|Fossil Machine Skull Wagon|8.70%|1.00
https://images.ygoprodeck.com/images/cards/24915933.jpg|Granguignol the Dusk Dragon|8.70%|1.00
https://images.ygoprodeck.com/images/cards/80696379.jpg|Odd-Eyes Meteorburst Dragon|8.70%|1.00
https://images.ygoprodeck.com/images/cards/45627618.jpg|Odd-Eyes Rebellion Dragon|8.70%|1.00
https://images.ygoprodeck.com/images/cards/26847978.jpg|Tri-Brigade Ferrijit the Barren Blossom|8.70%|1.00
https://images.ygoprodeck.com/images/cards/87746184.jpg|Albion the Branded Dragon|4.30%|2.00
https://images.ygoprodeck.com/images/cards/38811586.jpg|Albion the Sanctifire Dragon|4.30%|1.00
https://images.ygoprodeck.com/images/cards/49202162.jpg|Black Luster Soldier - Soldier of Chaos|4.30%|1.00
https://images.ygoprodeck.com/images/cards/15982593.jpg|Centur-Ion Legatia|4.30%|1.00
https://images.ygoprodeck.com/images/cards/50907446.jpg|El Shaddoll Apkallone|4.30%|1.00
https://images.ygoprodeck.com/images/cards/94977269.jpg|El Shaddoll Winda|4.30%|1.00
https://images.ygoprodeck.com/images/cards/51822687.jpg|Expurrely Happiness|4.30%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|4.30%|1.00
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|4.30%|1.00
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|4.30%|1.00
https://images.ygoprodeck.com/images/cards/30194529.jpg|Ningirsu the World Chalice Warrior|4.30%|1.00
https://images.ygoprodeck.com/images/cards/30095833.jpg|Odd-Eyes Rebellion Xyz Dragon|4.30%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|4.30%|1.00
https://images.ygoprodeck.com/images/cards/73082255.jpg|The Zombie Vampire|4.30%|1.00
https://images.ygoprodeck.com/images/cards/41373230.jpg|Titaniklad the Ash Dragon|4.30%|1.00
https://images.ygoprodeck.com/images/cards/10019086.jpg|Tri-Brigade Arms Bucephalus II|4.30%|1.00
