image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/63288573.jpg|Sky Striker Ace - Kagari|100.00%|1.89
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|88.90%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|77.80%|1.00
https://images.ygoprodeck.com/images/cards/75147529.jpg|Sky Striker Ace - Zeke|66.70%|1.00
https://images.ygoprodeck.com/images/cards/82570174.jpg|Sangenpai Bident Dragion|55.60%|2.00
https://images.ygoprodeck.com/images/cards/90673288.jpg|Sky Striker Ace - Shizuku|55.60%|2.00
https://images.ygoprodeck.com/images/cards/8491308.jpg|Sky Striker Ace - Hayate|55.60%|1.80
https://images.ygoprodeck.com/images/cards/18969888.jpg|Sangenpai Transcendent Dragion|55.60%|1.20
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|55.60%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|55.60%|1.00
https://images.ygoprodeck.com/images/cards/24361622.jpg|Hieratic Seal of the Heavenly Spheres|55.60%|1.00
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|55.60%|1.00
https://images.ygoprodeck.com/images/cards/39402797.jpg|Trident Dragion|55.60%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|44.40%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|44.40%|1.00
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|44.40%|1.00
https://images.ygoprodeck.com/images/cards/12421694.jpg|Sky Striker Ace - Kaina|44.40%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|44.40%|1.00
https://images.ygoprodeck.com/images/cards/10019086.jpg|Tri-Brigade Arms Bucephalus II|44.40%|1.00
https://images.ygoprodeck.com/images/cards/73580471.jpg|Black Rose Dragon|22.20%|1.00
https://images.ygoprodeck.com/images/cards/87837090.jpg|Kuibelt the Blade Dragon|22.20%|1.00
https://images.ygoprodeck.com/images/cards/90590304.jpg|Number 41: Bagooska the Terribly Tired Tapir|22.20%|1.00
https://images.ygoprodeck.com/images/cards/73539069.jpg|Striker Dragon|22.20%|1.00
https://images.ygoprodeck.com/images/cards/33698022.jpg|Black Rose Moonlight Dragon|11.10%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|11.10%|1.00
https://images.ygoprodeck.com/images/cards/34909328.jpg|Ryzeal Detonator|11.10%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|11.10%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|11.10%|1.00
