image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|85.70%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|85.70%|2.50
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|71.40%|2.80
https://images.ygoprodeck.com/images/cards/12435193.jpg|Koa'ki Meiru Drago|57.10%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|42.90%|2.33
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|42.90%|2.33
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|28.60%|2.50
https://images.ygoprodeck.com/images/cards/60643554.jpg|Ghost Sister & Spooky Dogwood|28.60%|2.50
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|28.60%|3.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|14.30%|3.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|14.30%|3.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|14.30%|3.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|14.30%|1.00
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|14.30%|1.00
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|14.30%|3.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|14.30%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|14.30%|2.00
https://images.ygoprodeck.com/images/cards/33782437.jpg|One Day of Peace|14.30%|1.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|14.30%|3.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|14.30%|1.00
