image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|100.00%|1.05
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|99.50%|1.03
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|99.10%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|98.10%|1.00
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|98.10%|1.00
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|82.90%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|75.40%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|60.70%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|60.20%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|57.30%|1.00
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|54.50%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|54.50%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|54.50%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|51.70%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|50.70%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|46.40%|1.00
https://images.ygoprodeck.com/images/cards/61245672.jpg|Decode Talker Heatsoul|37.90%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|36.50%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|33.60%|1.00
https://images.ygoprodeck.com/images/cards/87871125.jpg|Salamangreat Sunlight Wolf|32.70%|1.00
https://images.ygoprodeck.com/images/cards/47759571.jpg|Pitknight Earlie|30.30%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|28.90%|1.00
https://images.ygoprodeck.com/images/cards/46396218.jpg|Azamina Ilia Silvia|28.00%|1.00
https://images.ygoprodeck.com/images/cards/73391962.jpg|Azamina Mu Rcielago|28.00%|1.00
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|14.70%|1.00
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|7.10%|1.00
https://images.ygoprodeck.com/images/cards/29423048.jpg|Infernal Flame Banshee|6.60%|1.00
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|6.20%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|5.70%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|3.80%|1.00
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|3.80%|1.00
https://images.ygoprodeck.com/images/cards/20665527.jpg|Amphibious Swarmship Amblowhale|3.30%|1.00
https://images.ygoprodeck.com/images/cards/101205035.jpg||3.30%|1.00
https://images.ygoprodeck.com/images/cards/101205046.jpg||3.30%|1.00
https://images.ygoprodeck.com/images/cards/101205047.jpg||3.30%|1.00
https://images.ygoprodeck.com/images/cards/66532962.jpg|Magistus Chorozo|2.80%|1.00
https://images.ygoprodeck.com/images/cards/4731783.jpg|A Bao A Qu, the Lightless Shadow|2.40%|1.00
https://images.ygoprodeck.com/images/cards/77313225.jpg|Rciela, Sinister Soul of the White Forest|1.90%|1.00
https://images.ygoprodeck.com/images/cards/1528054.jpg|Silhouhatte Rabbit|1.90%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|1.90%|1.00
https://images.ygoprodeck.com/images/cards/27548199.jpg|Borreload Savage Dragon|1.40%|1.00
https://images.ygoprodeck.com/images/cards/14307929.jpg|Diabell, Queen of the White Forest|1.40%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|1.40%|1.00
https://images.ygoprodeck.com/images/cards/72329844.jpg|Spright Sprind|1.40%|1.00
https://images.ygoprodeck.com/images/cards/9785661.jpg|Azamina Sol Erysichthon|0.90%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|0.90%|1.00
https://images.ygoprodeck.com/images/cards/38495396.jpg|Constellar Ptolemy M7|0.90%|1.00
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|0.90%|1.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|0.90%|1.00
https://images.ygoprodeck.com/images/cards/41924516.jpg|Silvera, Wolf Tamer of the White Forest|0.90%|1.00
https://images.ygoprodeck.com/images/cards/101206030.jpg||0.90%|1.00
https://images.ygoprodeck.com/images/cards/101206031.jpg||0.90%|1.00
https://images.ygoprodeck.com/images/cards/46174776.jpg|Azamina Moa Regina|0.50%|1.00
https://images.ygoprodeck.com/images/cards/50091196.jpg|Formula Synchron|0.50%|1.00
https://images.ygoprodeck.com/images/cards/64182380.jpg|Garunix Eternity, Hyang of the Fire Kings|0.50%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|0.50%|1.00
https://images.ygoprodeck.com/images/cards/11321089.jpg|Guardian Chimera|0.50%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|0.50%|1.00
https://images.ygoprodeck.com/images/cards/72971064.jpg|Lyrilusc - Ensemblue Robin|0.50%|1.00
https://images.ygoprodeck.com/images/cards/71791814.jpg|Magical Musketeer Max|0.50%|1.00
