image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|68.80%|1.72
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|68.10%|2.86
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|60.10%|1.21
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|58.00%|2.67
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|45.70%|2.49
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|45.70%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|43.50%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|34.80%|1.06
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|26.80%|2.51
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|24.60%|1.94
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|24.60%|1.26
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|22.50%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|21.00%|2.69
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|18.80%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|14.50%|2.05
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|14.50%|1.55
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|14.50%|2.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|13.00%|2.72
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|12.30%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|10.90%|1.67
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|10.10%|1.29
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|8.00%|2.64
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|8.00%|1.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|8.00%|2.27
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|8.00%|1.09
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|7.20%|2.60
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|7.20%|1.00
https://images.ygoprodeck.com/images/cards/2411269.jpg|Agave Dragon|7.20%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|7.20%|1.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|6.50%|2.56
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|6.50%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|5.80%|2.62
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|5.10%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|5.10%|1.71
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|4.30%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|4.30%|2.50
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|4.30%|2.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|4.30%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|4.30%|1.00
https://images.ygoprodeck.com/images/cards/39238953.jpg|Lullaby of Obedience|4.30%|2.17
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|4.30%|1.00
https://images.ygoprodeck.com/images/cards/36361633.jpg|Threatening Roar|4.30%|2.33
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|3.60%|2.60
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|2.90%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|2.90%|1.75
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|2.90%|1.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|2.90%|1.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|2.20%|3.00
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|2.20%|2.00
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|2.20%|1.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|2.20%|2.67
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|2.20%|2.00
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|2.20%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|2.20%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|1.40%|2.00
https://images.ygoprodeck.com/images/cards/6728559.jpg|Archnemeses Protos|1.40%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|1.40%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|1.40%|1.00
https://images.ygoprodeck.com/images/cards/19211362.jpg|Nemeses Flag|1.40%|1.00
https://images.ygoprodeck.com/images/cards/63767246.jpg|Number 38: Hope Harbinger Dragon Titanic Galaxy|1.40%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|1.40%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|1.40%|3.00
https://images.ygoprodeck.com/images/cards/26700718.jpg|Dramatic Snake-Eye Chase|1.40%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|1.40%|3.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|1.40%|2.50
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|0.70%|2.00
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|0.70%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|0.70%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.70%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|0.70%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|0.70%|1.00
https://images.ygoprodeck.com/images/cards/75452921.jpg|Knightmare Cerberus|0.70%|1.00
https://images.ygoprodeck.com/images/cards/34909328.jpg|Ryzeal Detonator|0.70%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|0.70%|1.00
https://images.ygoprodeck.com/images/cards/29479265.jpg|Unchained Abomination|0.70%|1.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|0.70%|3.00
