image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|100.00%|3.00
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|100.00%|2.97
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|100.00%|2.88
https://images.ygoprodeck.com/images/cards/45663742.jpg|Snake-Eye Oak|100.00%|1.91
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|100.00%|1.19
https://images.ygoprodeck.com/images/cards/90241276.jpg|Snake-Eyes Poplar|100.00%|1.00
https://images.ygoprodeck.com/images/cards/48452496.jpg|Snake-Eyes Flamberge Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/27260347.jpg|Snake-Eyes Diabellstar|100.00%|1.00
https://images.ygoprodeck.com/images/cards/9674034.jpg|Snake-Eye Ash|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|96.90%|2.94
https://images.ygoprodeck.com/images/cards/53639887.jpg|Divine Temple of the Snake-Eye|96.90%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|87.50%|3.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|87.50%|2.11
https://images.ygoprodeck.com/images/cards/44822037.jpg|Angel Statue - Azurune|71.90%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|62.50%|1.20
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|62.50%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|59.40%|2.53
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|56.20%|2.28
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|53.10%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|53.10%|1.00
https://images.ygoprodeck.com/images/cards/66328392.jpg||43.80%|3.00
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|43.80%|1.57
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|43.80%|1.00
https://images.ygoprodeck.com/images/cards/94845588.jpg||43.80%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|40.60%|2.31
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|40.60%|2.08
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|37.50%|2.33
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|34.40%|3.00
