image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|2.62
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|2.00
https://images.ygoprodeck.com/images/cards/75922381.jpg|Spright Red|100.00%|1.38
https://images.ygoprodeck.com/images/cards/15443125.jpg|Spright Starter|100.00%|1.00
https://images.ygoprodeck.com/images/cards/13533678.jpg|Spright Jet|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2311090.jpg|Spright Carrot|100.00%|1.00
https://images.ygoprodeck.com/images/cards/76145933.jpg|Spright Blue|100.00%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|100.00%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|87.50%|1.71
https://images.ygoprodeck.com/images/cards/68353324.jpg|Nimble Beaver|75.00%|3.00
https://images.ygoprodeck.com/images/cards/88686573.jpg|Nimble Angler|75.00%|1.67
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|75.00%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|75.00%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|62.50%|1.20
https://images.ygoprodeck.com/images/cards/56196385.jpg|Tri-Brigade Kitt|50.00%|3.00
https://images.ygoprodeck.com/images/cards/14816857.jpg|Tri-Brigade Nervall|50.00%|2.00
https://images.ygoprodeck.com/images/cards/50810455.jpg|Tri-Brigade Kerass|50.00%|2.00
https://images.ygoprodeck.com/images/cards/48017189.jpg|EM:P Meowmine|50.00%|1.75
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|50.00%|1.50
https://images.ygoprodeck.com/images/cards/88836438.jpg|Spright Smashers|50.00%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|50.00%|1.00
https://images.ygoprodeck.com/images/cards/87209160.jpg|Tri-Brigade Fraktall|37.50%|2.33
https://images.ygoprodeck.com/images/cards/40975243.jpg|Tri-Brigade Revolt|37.50%|1.00
https://images.ygoprodeck.com/images/cards/83764718.jpg|Monster Reborn|37.50%|1.00
