image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|68.80%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|65.60%|2.19
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|53.10%|2.29
https://images.ygoprodeck.com/images/cards/40975574.jpg|Red Resonator|46.90%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|43.80%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|40.60%|1.85
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|37.50%|2.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|34.40%|2.36
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|31.20%|2.80
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|28.10%|2.11
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|28.10%|2.11
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|28.10%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|25.00%|2.88
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|25.00%|2.50
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|25.00%|2.12
https://images.ygoprodeck.com/images/cards/42431833.jpg|Spright Gamma Burst|25.00%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|21.90%|2.57
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|21.90%|2.57
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|18.80%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|15.60%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|12.50%|2.75
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|12.50%|1.75
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|12.50%|1.50
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|12.50%|1.25
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|9.40%|1.67
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|9.40%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|9.40%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|9.40%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|6.20%|2.50
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|6.20%|2.00
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|6.20%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|6.20%|1.00
https://images.ygoprodeck.com/images/cards/59509952.jpg|Archlord Kristya|6.20%|1.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|3.10%|3.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|3.10%|2.00
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|3.10%|2.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|3.10%|2.00
https://images.ygoprodeck.com/images/cards/69750546.jpg|Volcanic Scattershot|3.10%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|3.10%|1.00
https://images.ygoprodeck.com/images/cards/68250822.jpg|Spright Double Cross|3.10%|1.00
https://images.ygoprodeck.com/images/cards/19211362.jpg|Nemeses Flag|3.10%|1.00
https://images.ygoprodeck.com/images/cards/10158145.jpg|Knightmare Corruptor Iblee|3.10%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|3.10%|1.00
https://images.ygoprodeck.com/images/cards/6728559.jpg|Archnemeses Protos|3.10%|1.00
