image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|70.80%|2.40
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|70.80%|1.16
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|48.30%|1.05
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|40.40%|2.06
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|39.30%|2.26
https://images.ygoprodeck.com/images/cards/85032782.jpg|Sauge de Fleur|38.20%|2.73
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|34.80%|2.52
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|30.30%|2.15
https://images.ygoprodeck.com/images/cards/84636823.jpg|Spell Canceller|30.30%|1.04
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|28.10%|2.28
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|21.30%|2.26
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|20.20%|2.33
https://images.ygoprodeck.com/images/cards/30537973.jpg|Predaplant Spider Orchid|20.20%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|18.00%|2.25
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|14.60%|1.92
https://images.ygoprodeck.com/images/cards/63941210.jpg|Jizukiru, the Star Destroying Kaiju|13.50%|1.17
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|12.40%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|11.20%|2.30
https://images.ygoprodeck.com/images/cards/74997493.jpg|Saryuja Skull Dread|11.20%|1.00
https://images.ygoprodeck.com/images/cards/13974207.jpg|Denko Sekka|10.10%|2.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|9.00%|2.50
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|9.00%|2.50
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|9.00%|2.12
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|9.00%|1.38
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|7.90%|2.29
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|7.90%|1.00
https://images.ygoprodeck.com/images/cards/77585513.jpg|Jinzo|7.90%|1.00
https://images.ygoprodeck.com/images/cards/46565218.jpg|Santa Claws|6.70%|2.17
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|6.70%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|5.60%|2.80
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|5.60%|1.40
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|5.60%|1.40
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|5.60%|1.40
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|4.50%|2.75
https://images.ygoprodeck.com/images/cards/43711255.jpg|Prohibition|4.50%|2.50
https://images.ygoprodeck.com/images/cards/93125329.jpg|Golden Cloud Beast - Malong|4.50%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|3.40%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|3.40%|2.67
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|3.40%|2.67
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|3.40%|2.33
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|3.40%|2.33
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|3.40%|2.00
https://images.ygoprodeck.com/images/cards/13821299.jpg|Trap Eater|3.40%|2.00
https://images.ygoprodeck.com/images/cards/80275707.jpg|Laughing Puffin|3.40%|2.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|3.40%|1.67
https://images.ygoprodeck.com/images/cards/51916853.jpg|Magical Hound|3.40%|1.33
https://images.ygoprodeck.com/images/cards/40028305.jpg|Superheavy Samurai Soulclaw|3.40%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|3.40%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|2.20%|2.50
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|2.20%|2.00
https://images.ygoprodeck.com/images/cards/36956512.jpg|Gadarla, the Mystery Dust Kaiju|2.20%|2.00
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|2.20%|1.50
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|2.20%|1.50
https://images.ygoprodeck.com/images/cards/87170768.jpg|"Contact ""C"""|2.20%|1.50
https://images.ygoprodeck.com/images/cards/14756848.jpg|Superheavy Samurai Thief|2.20%|1.00
https://images.ygoprodeck.com/images/cards/76471944.jpg|Superheavy Samurai Ninja Sarutobi|2.20%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|2.20%|1.00
https://images.ygoprodeck.com/images/cards/2956282.jpg|Naturia Barkion|2.20%|1.00
