image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/20001443.jpg|Swordsoul of Mo Ye|100.00%|3.00
https://images.ygoprodeck.com/images/cards/56465981.jpg|Swordsoul Emergence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/87052196.jpg|Tenyi Spirit - Ashuna|100.00%|2.90
https://images.ygoprodeck.com/images/cards/93490856.jpg|Swordsoul Strategist Longyuan|100.00%|2.90
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|2.90
https://images.ygoprodeck.com/images/cards/55273560.jpg|Incredible Ecclesia, the Virtuous|100.00%|2.80
https://images.ygoprodeck.com/images/cards/23431858.jpg|Tenyi Spirit - Vishuda|100.00%|2.20
https://images.ygoprodeck.com/images/cards/98159737.jpg|Tenyi Spirit - Adhara|100.00%|2.20
https://images.ygoprodeck.com/images/cards/56495147.jpg|Swordsoul of Taia|100.00%|1.90
https://images.ygoprodeck.com/images/cards/14821890.jpg|Swordsoul Blackout|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|90.00%|2.67
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|90.00%|2.33
https://images.ygoprodeck.com/images/cards/51684157.jpg|Heavenly Dragon Circle|90.00%|2.00
https://images.ygoprodeck.com/images/cards/24557335.jpg|Tenyi Spirit - Shthana|90.00%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|80.00%|1.88
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|60.00%|2.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|60.00%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|50.00%|2.40
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|40.00%|2.25
https://images.ygoprodeck.com/images/cards/93850690.jpg|Swordsoul Sacred Summit|40.00%|1.00
https://images.ygoprodeck.com/images/cards/65124425.jpg|Vessel for the Dragon Cycle|30.00%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|20.00%|3.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|20.00%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|20.00%|1.50
https://images.ygoprodeck.com/images/cards/60942444.jpg|Tenyi Spirit - Mapura|20.00%|1.00
https://images.ygoprodeck.com/images/cards/57831349.jpg|Nine Pillars of Yang Zing|20.00%|1.00
https://images.ygoprodeck.com/images/cards/6728559.jpg|Archnemeses Protos|20.00%|1.00
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|10.00%|3.00
https://images.ygoprodeck.com/images/cards/83334932.jpg|Superheavy Samurai Motorbike|10.00%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|10.00%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|10.00%|2.00
https://images.ygoprodeck.com/images/cards/29884951.jpg|Swordsoul Auspice Chunjun|10.00%|1.00
https://images.ygoprodeck.com/images/cards/14624296.jpg|Superheavy Samurai Soulhorns|10.00%|1.00
https://images.ygoprodeck.com/images/cards/19510093.jpg|Superheavy Samurai Monk Big Benkei|10.00%|1.00
https://images.ygoprodeck.com/images/cards/30106950.jpg|Suanni, Fire of the Yang Zing|10.00%|1.00
https://images.ygoprodeck.com/images/cards/25935625.jpg|Jiaotu, Darkness of the Yang Zing|10.00%|1.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|10.00%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|10.00%|1.00
https://images.ygoprodeck.com/images/cards/61488417.jpg|Chiwen, Light of the Yang Zing|10.00%|1.00
