image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|3.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|100.00%|2.85
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|100.00%|1.77
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|92.30%|2.92
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|61.50%|2.75
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|61.50%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|53.80%|2.00
https://images.ygoprodeck.com/images/cards/16240772.jpg|Sinful Spoils of Doom - Rciela|53.80%|1.00
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|38.50%|1.40
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|30.80%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|30.80%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|30.80%|1.50
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|30.80%|1.00
https://images.ygoprodeck.com/images/cards/82956214.jpg|Dogmatika Punishment|30.80%|1.00
https://images.ygoprodeck.com/images/cards/47679935.jpg|Magical Meltdown|23.10%|3.00
https://images.ygoprodeck.com/images/cards/60303688.jpg|Dogmatika Ecclesia, the Virtuous|23.10%|3.00
https://images.ygoprodeck.com/images/cards/86120751.jpg|Aleister the Invoker|23.10%|3.00
https://images.ygoprodeck.com/images/cards/74063034.jpg|Invocation|23.10%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|23.10%|1.67
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|23.10%|1.33
https://images.ygoprodeck.com/images/cards/69680031.jpg|Dogmatika Fleurdelis, the Knighted|23.10%|1.33
https://images.ygoprodeck.com/images/cards/21011044.jpg|Shaddoll Schism|23.10%|1.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|15.40%|3.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|15.40%|3.00
https://images.ygoprodeck.com/images/cards/98396890.jpg|Vision Resonator|15.40%|2.50
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|15.40%|2.00
https://images.ygoprodeck.com/images/cards/98173209.jpg|Crimson Gaia|15.40%|2.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|15.40%|1.50
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|15.40%|1.50
https://images.ygoprodeck.com/images/cards/37478723.jpg|"""Infernoble Arms - Durendal"""|15.40%|1.50
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|15.40%|1.00
https://images.ygoprodeck.com/images/cards/32807846.jpg|Reinforcement of the Army|15.40%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|15.40%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|15.40%|1.00
https://images.ygoprodeck.com/images/cards/9742784.jpg|Jet Synchron|15.40%|1.00
https://images.ygoprodeck.com/images/cards/53404966.jpg|Infernoble Knight Ricciardetto|15.40%|1.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|15.40%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|15.40%|1.00
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|15.40%|1.00
https://images.ygoprodeck.com/images/cards/95679145.jpg|Dogmatika Maximus|15.40%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|15.40%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|15.40%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|15.40%|1.00
https://images.ygoprodeck.com/images/cards/98319530.jpg|"""Infernoble Arms - Almace"""|15.40%|1.00
https://images.ygoprodeck.com/images/cards/72714461.jpg|Wisdom-Eye Magician|7.70%|3.00
https://images.ygoprodeck.com/images/cards/30680659.jpg|Water Enchantress of the Temple|7.70%|3.00
https://images.ygoprodeck.com/images/cards/29302858.jpg|Vanquish Soul Razen|7.70%|3.00
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|7.70%|3.00
https://images.ygoprodeck.com/images/cards/14513273.jpg|Supreme King Gate Magician|7.70%|3.00
https://images.ygoprodeck.com/images/cards/54562327.jpg|Stake your Soul!|7.70%|3.00
https://images.ygoprodeck.com/images/cards/9674034.jpg|Snake-Eye Ash|7.70%|3.00
https://images.ygoprodeck.com/images/cards/30328508.jpg|Shaddoll Squamata|7.70%|3.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|7.70%|3.00
https://images.ygoprodeck.com/images/cards/31562086.jpg|Runick Tip|7.70%|3.00
https://images.ygoprodeck.com/images/cards/67835547.jpg|Runick Slumber|7.70%|3.00
https://images.ygoprodeck.com/images/cards/30430448.jpg|Runick Freezing Curses|7.70%|3.00
https://images.ygoprodeck.com/images/cards/68957034.jpg|Runick Flashing Fire|7.70%|3.00
https://images.ygoprodeck.com/images/cards/94445733.jpg|Runick Destruction|7.70%|3.00
https://images.ygoprodeck.com/images/cards/38339996.jpg|Rescue-ACE Impulse|7.70%|3.00
https://images.ygoprodeck.com/images/cards/37617348.jpg|Rescue-ACE Hydrant|7.70%|3.00
https://images.ygoprodeck.com/images/cards/65734501.jpg|Rescue-ACE Air Lifter|7.70%|3.00
https://images.ygoprodeck.com/images/cards/40318957.jpg|Performapal Skullcrobat Joker|7.70%|3.00
https://images.ygoprodeck.com/images/cards/3734202.jpg|Naturia Sacred Tree|7.70%|3.00
https://images.ygoprodeck.com/images/cards/93454062.jpg|Naturia Mole Cricket|7.70%|3.00
https://images.ygoprodeck.com/images/cards/29942771.jpg|Naturia Camellia|7.70%|3.00
https://images.ygoprodeck.com/images/cards/28954097.jpg|Mirror Swordknight|7.70%|3.00
https://images.ygoprodeck.com/images/cards/74018812.jpg|Labrynth Stovie Torbie|7.70%|3.00
https://images.ygoprodeck.com/images/cards/2511.jpg|Labrynth Cooclock|7.70%|3.00
https://images.ygoprodeck.com/images/cards/37629703.jpg|Labrynth Chandraglier|7.70%|3.00
https://images.ygoprodeck.com/images/cards/21351206.jpg|Infernoble Knight Ogier|7.70%|3.00
https://images.ygoprodeck.com/images/cards/23076639.jpg|Gazelle the King of Mythical Claws|7.70%|3.00
https://images.ygoprodeck.com/images/cards/6417578.jpg|El Shaddoll Fusion|7.70%|3.00
https://images.ygoprodeck.com/images/cards/61292243.jpg|EMERGENCY!|7.70%|3.00
https://images.ygoprodeck.com/images/cards/49684352.jpg|Double Iris Magician|7.70%|3.00
https://images.ygoprodeck.com/images/cards/53639887.jpg|Divine Temple of the Snake-Eye|7.70%|3.00
https://images.ygoprodeck.com/images/cards/92565383.jpg|Cornfield Coatl|7.70%|3.00
https://images.ygoprodeck.com/images/cards/63136489.jpg|Chimera Fusion|7.70%|3.00
https://images.ygoprodeck.com/images/cards/67616300.jpg|Chicken Game|7.70%|3.00
https://images.ygoprodeck.com/images/cards/95515789.jpg|Blazing Cartesia, the Virtuous|7.70%|3.00
https://images.ygoprodeck.com/images/cards/92714517.jpg|Big Welcome Labrynth|7.70%|3.00
https://images.ygoprodeck.com/images/cards/1225009.jpg|Arianna the Labrynth Servant|7.70%|3.00
https://images.ygoprodeck.com/images/cards/82190203.jpg|Wings of Light|7.70%|2.00
https://images.ygoprodeck.com/images/cards/9091064.jpg|Vanquish Soul Jiaolong|7.70%|2.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|7.70%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|7.70%|2.00
https://images.ygoprodeck.com/images/cards/48452496.jpg|Snake-Eyes Flamberge Dragon|7.70%|2.00
https://images.ygoprodeck.com/images/cards/45663742.jpg|Snake-Eye Oak|7.70%|2.00
https://images.ygoprodeck.com/images/cards/12058741.jpg|Snake-Eye Birch|7.70%|2.00
https://images.ygoprodeck.com/images/cards/4939890.jpg|Shaddoll Hedgehog|7.70%|2.00
https://images.ygoprodeck.com/images/cards/3285551.jpg|Rite of Aramesir|7.70%|2.00
https://images.ygoprodeck.com/images/cards/23912837.jpg|Resh Shaddoll Incarnation|7.70%|2.00
https://images.ygoprodeck.com/images/cards/37495766.jpg|Rescue-ACE Turbulence|7.70%|2.00
https://images.ygoprodeck.com/images/cards/41443249.jpg|Rescue-ACE Preventer|7.70%|2.00
https://images.ygoprodeck.com/images/cards/51023024.jpg|Reeshaddoll Wendi|7.70%|2.00
https://images.ygoprodeck.com/images/cards/25807544.jpg|Noble Arms Museum|7.70%|2.00
https://images.ygoprodeck.com/images/cards/34813545.jpg|Naturia Blessing|7.70%|2.00
https://images.ygoprodeck.com/images/cards/81497285.jpg|Lady Labrynth of the Silver Castle|7.70%|2.00
https://images.ygoprodeck.com/images/cards/89809665.jpg|Infernoble Knight Turpin|7.70%|2.00
https://images.ygoprodeck.com/images/cards/51412776.jpg|Heritage of the Chalice|7.70%|2.00
https://images.ygoprodeck.com/images/cards/6498706.jpg|Fusion Deployment|7.70%|2.00
https://images.ygoprodeck.com/images/cards/55461744.jpg|Big-Winged Berfomet|7.70%|2.00
https://images.ygoprodeck.com/images/cards/5380979.jpg|Welcome Labrynth|7.70%|1.00
https://images.ygoprodeck.com/images/cards/60883493.jpg|Vanquish Soul Snow Devil|7.70%|1.00
https://images.ygoprodeck.com/images/cards/66401502.jpg|Vanquish Soul Pantera|7.70%|1.00
https://images.ygoprodeck.com/images/cards/92895501.jpg|Vanquish Soul Heavy Borger|7.70%|1.00
https://images.ygoprodeck.com/images/cards/91951471.jpg|Vanquish Soul Dust Devil|7.70%|1.00
https://images.ygoprodeck.com/images/cards/29280200.jpg|Vanquish Soul Dr. Mad Love|7.70%|1.00
https://images.ygoprodeck.com/images/cards/91073013.jpg|Vanquish Soul Caesar Valius|7.70%|1.00
https://images.ygoprodeck.com/images/cards/27345070.jpg|Vanquish Soul - Continue?|7.70%|1.00
https://images.ygoprodeck.com/images/cards/1344018.jpg|Time Pendulumgraph|7.70%|1.00
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|7.70%|1.00
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|7.70%|1.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|7.70%|1.00
https://images.ygoprodeck.com/images/cards/96227613.jpg|Supreme King Gate Zero|7.70%|1.00
https://images.ygoprodeck.com/images/cards/69610326.jpg|Supreme King Dragon Darkwurm|7.70%|1.00
https://images.ygoprodeck.com/images/cards/74850403.jpg|Star Pendulumgraph|7.70%|1.00
https://images.ygoprodeck.com/images/cards/77505534.jpg|Sinister Shadow Games|7.70%|1.00
https://images.ygoprodeck.com/images/cards/37445295.jpg|Shaddoll Falco|7.70%|1.00
https://images.ygoprodeck.com/images/cards/77723643.jpg|Shaddoll Dragon|7.70%|1.00
https://images.ygoprodeck.com/images/cards/4904633.jpg|Shaddoll Core|7.70%|1.00
https://images.ygoprodeck.com/images/cards/3717252.jpg|Shaddoll Beast|7.70%|1.00
https://images.ygoprodeck.com/images/cards/92107604.jpg|Runick Fountain|7.70%|1.00
https://images.ygoprodeck.com/images/cards/66712905.jpg|Runick Dispelling|7.70%|1.00
https://images.ygoprodeck.com/images/cards/63899465.jpg|Rescue-ACE HQ|7.70%|1.00
https://images.ygoprodeck.com/images/cards/90000652.jpg|Rescue-ACE Fire Engine|7.70%|1.00
https://images.ygoprodeck.com/images/cards/64612053.jpg|Rescue-ACE Fire Attacker|7.70%|1.00
https://images.ygoprodeck.com/images/cards/99984170.jpg|RESCUE!|7.70%|1.00
https://images.ygoprodeck.com/images/cards/71948047.jpg|REINFORCE!|7.70%|1.00
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|7.70%|1.00
https://images.ygoprodeck.com/images/cards/55795155.jpg|Pendulum Evolution|7.70%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|7.70%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|7.70%|1.00
https://images.ygoprodeck.com/images/cards/16306932.jpg|Odd-Eyes Revolution Dragon|7.70%|1.00
https://images.ygoprodeck.com/images/cards/14920218.jpg|Oafdragon Magician|7.70%|1.00
https://images.ygoprodeck.com/images/cards/66675911.jpg|Nehshaddoll Genius|7.70%|1.00
