image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|50.00%|3.00
https://images.ygoprodeck.com/images/cards/69750546.jpg|Volcanic Scattershot|50.00%|2.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|50.00%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|50.00%|1.50
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|50.00%|1.00
https://images.ygoprodeck.com/images/cards/36458063.jpg|Witch's Strike|25.00%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|25.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|25.00%|3.00
https://images.ygoprodeck.com/images/cards/12682213.jpg|Iron Thunder|25.00%|3.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|25.00%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|25.00%|3.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|25.00%|3.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|25.00%|2.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|25.00%|2.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|25.00%|2.00
https://images.ygoprodeck.com/images/cards/43455065.jpg|Magical Spring|25.00%|2.00
https://images.ygoprodeck.com/images/cards/81172177.jpg|Fiend Comedian|25.00%|2.00
https://images.ygoprodeck.com/images/cards/18973184.jpg|Branded Lost|25.00%|2.00
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|25.00%|1.00
https://images.ygoprodeck.com/images/cards/97518132.jpg|Naelshaddoll Ariel|25.00%|1.00
https://images.ygoprodeck.com/images/cards/6855503.jpg|Masquerade the Blazing Dragon|25.00%|1.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|25.00%|1.00
https://images.ygoprodeck.com/images/cards/53493204.jpg|Goddess with the Third Eye|25.00%|1.00
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|25.00%|1.00
https://images.ygoprodeck.com/images/cards/52198054.jpg|Blaze Accelerator Reload|25.00%|1.00
https://images.ygoprodeck.com/images/cards/33212663.jpg|Archnemeses Eschatos|25.00%|1.00
