image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/4928565.jpg|Tearlaments Kashtira|100.00%|3.00
https://images.ygoprodeck.com/images/cards/73956664.jpg|Tearlaments Reinoheart|100.00%|3.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|100.00%|1.00
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|100.00%|1.00
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|100.00%|1.00
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|100.00%|2.93
https://images.ygoprodeck.com/images/cards/6767771.jpg|Tearlaments Scream|100.00%|2.71
https://images.ygoprodeck.com/images/cards/74920585.jpg|Tearlaments Sulliek|100.00%|2.43
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|92.90%|3.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|92.90%|1.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|92.90%|2.38
https://images.ygoprodeck.com/images/cards/7436169.jpg|Trivikarma|92.90%|1.23
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|78.60%|1.00
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|78.60%|1.00
https://images.ygoprodeck.com/images/cards/33878367.jpg|Tearlaments Grief|78.60%|1.27
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|71.40%|1.90
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|64.30%|1.89
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|64.30%|1.00
https://images.ygoprodeck.com/images/cards/3717252.jpg|Shaddoll Beast|57.10%|1.00
https://images.ygoprodeck.com/images/cards/38436986.jpg|Tearlaments Metanoise|57.10%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|50.00%|2.57
https://images.ygoprodeck.com/images/cards/9411399.jpg|Destiny HERO - Malicious|42.90%|3.00
https://images.ygoprodeck.com/images/cards/52350806.jpg|Danger! Mothman!|42.90%|1.17
https://images.ygoprodeck.com/images/cards/92079625.jpg|Helshaddoll Hollow|42.90%|1.00
https://images.ygoprodeck.com/images/cards/30328508.jpg|Shaddoll Squamata|42.90%|1.00
