image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|100.00%|2.96
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.44
https://images.ygoprodeck.com/images/cards/23657016.jpg|Tenpai Dragon Genroku|100.00%|2.17
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|100.00%|1.87
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|100.00%|1.24
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|100.00%|3.00
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|100.00%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|98.10%|2.96
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|96.30%|2.94
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|96.30%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|96.30%|2.98
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|88.90%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|88.90%|1.00
https://images.ygoprodeck.com/images/cards/11590299.jpg|Dora Dora|75.90%|1.27
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|74.10%|2.80
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|63.00%|2.59
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|57.40%|2.68
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|50.00%|1.81
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|50.00%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|48.10%|2.62
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|46.30%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|27.80%|1.60
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|27.80%|2.60
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|24.10%|1.54
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|20.40%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|20.40%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|16.70%|2.00
https://images.ygoprodeck.com/images/cards/75500286.jpg|Gold Sarcophagus|13.00%|1.71
https://images.ygoprodeck.com/images/cards/53804307.jpg|Blaster, Dragon Ruler of Infernos|11.10%|1.17
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|9.30%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|9.30%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|9.30%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|7.40%|1.75
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|7.40%|1.25
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|5.60%|2.33
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|5.60%|1.00
https://images.ygoprodeck.com/images/cards/5560911.jpg|Destrudo the Lost Dragon's Frisson|5.60%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|5.60%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|5.60%|2.33
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|5.60%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|3.70%|2.50
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|3.70%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|3.70%|1.00
https://images.ygoprodeck.com/images/cards/63166095.jpg|Sky Striker Mobilize - Engage!|3.70%|3.00
https://images.ygoprodeck.com/images/cards/98338152.jpg|Sky Striker Mecha - Widow Anchor|3.70%|2.00
https://images.ygoprodeck.com/images/cards/52340444.jpg|Sky Striker Mecha - Hornet Drones|3.70%|1.00
https://images.ygoprodeck.com/images/cards/62015408.jpg|Ghost Reaper & Winter Cherries|1.90%|3.00
https://images.ygoprodeck.com/images/cards/12435193.jpg|Koa'ki Meiru Drago|1.90%|3.00
