image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|72.20%|2.69
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|61.10%|1.54
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|61.10%|1.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|55.60%|3.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|44.40%|2.88
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|44.40%|2.12
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|38.90%|1.86
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|33.30%|1.00
https://images.ygoprodeck.com/images/cards/12435193.jpg|Koa'ki Meiru Drago|27.80%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|27.80%|2.40
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|27.80%|2.20
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|27.80%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|27.80%|2.60
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|22.20%|2.00
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|22.20%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|22.20%|2.25
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|22.20%|1.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|16.70%|2.33
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|11.10%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|11.10%|2.50
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|11.10%|2.50
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|11.10%|1.00
https://images.ygoprodeck.com/images/cards/98898163.jpg|Grandtusk Dragon|11.10%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|11.10%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|11.10%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|5.60%|2.00
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|5.60%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|5.60%|1.00
https://images.ygoprodeck.com/images/cards/87170768.jpg|"Contact ""C"""|5.60%|1.00
https://images.ygoprodeck.com/images/cards/11590299.jpg|Dora Dora|5.60%|1.00
https://images.ygoprodeck.com/images/cards/46898368.jpg|Burning Draw|5.60%|2.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|5.60%|2.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|5.60%|3.00
https://images.ygoprodeck.com/images/cards/87126721.jpg||5.60%|3.00
