image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|100.00%|2.96
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|100.00%|2.95
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|100.00%|1.75
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|100.00%|2.95
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|100.00%|2.26
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|98.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|96.40%|2.99
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|95.90%|2.26
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|90.50%|2.95
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|79.80%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|78.00%|1.96
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|67.50%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|62.70%|2.80
https://images.ygoprodeck.com/images/cards/23657016.jpg|Tenpai Dragon Genroku|56.50%|1.84
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|51.90%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|44.20%|2.83
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|39.60%|2.84
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|39.60%|2.54
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|39.10%|2.60
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|33.50%|2.54
https://images.ygoprodeck.com/images/cards/11590299.jpg|Dora Dora|29.40%|1.16
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|28.60%|2.67
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|22.30%|2.42
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|21.00%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|20.50%|2.74
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|18.90%|2.89
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|16.60%|2.29
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|15.60%|1.38
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|15.10%|1.07
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|14.80%|2.59
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|12.30%|1.71
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|11.80%|1.52
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|10.70%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|9.00%|2.40
https://images.ygoprodeck.com/images/cards/73468603.jpg|Set Rotation|8.70%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|7.40%|2.48
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|7.20%|2.04
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|7.20%|2.82
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|6.60%|1.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|3.80%|1.73
https://images.ygoprodeck.com/images/cards/91880660.jpg|Way Where There's a Will|3.60%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|3.30%|1.46
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|2.80%|2.73
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|2.30%|2.33
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|2.30%|2.89
https://images.ygoprodeck.com/images/cards/25789292.jpg|Forbidden Chalice|2.30%|2.78
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|2.30%|2.44
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|2.00%|1.88
https://images.ygoprodeck.com/images/cards/25388971.jpg|Sangen Kaiho|1.80%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|1.50%|2.50
https://images.ygoprodeck.com/images/cards/46565218.jpg|Santa Claws|1.50%|2.00
https://images.ygoprodeck.com/images/cards/53804307.jpg|Blaster, Dragon Ruler of Infernos|1.50%|1.17
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|1.50%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|1.50%|2.00
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|1.30%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|1.30%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|1.30%|1.00
https://images.ygoprodeck.com/images/cards/75500286.jpg|Gold Sarcophagus|1.30%|1.00
https://images.ygoprodeck.com/images/cards/47355498.jpg|Necrovalley|1.30%|1.00
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|1.00%|1.25
https://images.ygoprodeck.com/images/cards/31149212.jpg|Kashtira Riseheart|1.00%|1.00
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|1.00%|1.00
https://images.ygoprodeck.com/images/cards/99989863.jpg|Fiendsmith in Paradise|1.00%|1.00
https://images.ygoprodeck.com/images/cards/12435193.jpg|Koa'ki Meiru Drago|0.80%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|0.80%|1.00
https://images.ygoprodeck.com/images/cards/1980574.jpg|Hop Ear Squadron|0.50%|3.00
