image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/3544583.jpg|Allvain the Essence of Vanity|100.00%|2.00
https://images.ygoprodeck.com/images/cards/90290572.jpg|Protector of The Agents - Moon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|100.00%|1.00
https://images.ygoprodeck.com/images/cards/48589580.jpg|Celestial Knightlord Parshath|100.00%|1.00
https://images.ygoprodeck.com/images/cards/21915012.jpg|Cupid Pitch|100.00%|1.00
https://images.ygoprodeck.com/images/cards/46935289.jpg|Herald of Mirage Lights|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|100.00%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|100.00%|1.00
https://images.ygoprodeck.com/images/cards/63101468.jpg|Masterflare Hyperion|100.00%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|100.00%|1.00
https://images.ygoprodeck.com/images/cards/96633955.jpg|Swordsoul Supreme Sovereign - Chengying|100.00%|1.00
https://images.ygoprodeck.com/images/cards/37706769.jpg|The Executor of the Underworld - Pluto|100.00%|1.00
https://images.ygoprodeck.com/images/cards/52687916.jpg|Trishula, Dragon of the Ice Barrier|100.00%|1.00
