image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14816857.jpg|Tri-Brigade Nervall|91.80%|2.39
https://images.ygoprodeck.com/images/cards/50810455.jpg|Tri-Brigade Kerass|85.70%|1.66
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|83.70%|2.99
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|82.70%|2.72
https://images.ygoprodeck.com/images/cards/56196385.jpg|Tri-Brigade Kitt|82.70%|2.37
https://images.ygoprodeck.com/images/cards/87209160.jpg|Tri-Brigade Fraktall|73.50%|2.57
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|71.40%|1.46
https://images.ygoprodeck.com/images/cards/40975243.jpg|Tri-Brigade Revolt|66.30%|1.28
https://images.ygoprodeck.com/images/cards/57103969.jpg|Fire Formation - Tenki|51.00%|2.02
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|51.00%|1.72
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|40.80%|1.68
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|39.80%|1.00
https://images.ygoprodeck.com/images/cards/76145933.jpg|Spright Blue|37.80%|2.38
https://images.ygoprodeck.com/images/cards/15443125.jpg|Spright Starter|37.80%|2.32
https://images.ygoprodeck.com/images/cards/13533678.jpg|Spright Jet|37.80%|2.32
https://images.ygoprodeck.com/images/cards/75922381.jpg|Spright Red|37.80%|1.41
https://images.ygoprodeck.com/images/cards/2311090.jpg|Spright Carrot|37.80%|1.03
https://images.ygoprodeck.com/images/cards/88836438.jpg|Spright Smashers|35.70%|1.06
https://images.ygoprodeck.com/images/cards/68353324.jpg|Nimble Beaver|34.70%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|32.70%|3.00
https://images.ygoprodeck.com/images/cards/97949165.jpg|Lyrilusc - Turquoise Warbler|31.60%|3.00
https://images.ygoprodeck.com/images/cards/34550857.jpg|Lyrilusc - Cobalt Sparrow|31.60%|2.39
https://images.ygoprodeck.com/images/cards/88686573.jpg|Nimble Angler|31.60%|1.71
https://images.ygoprodeck.com/images/cards/45354718.jpg|Lyrilusc - Bird Call|29.60%|3.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|29.60%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|27.60%|2.30
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|27.60%|2.22
https://images.ygoprodeck.com/images/cards/60954556.jpg|Lyrilusc - Sapphire Swallow|27.60%|2.22
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|27.60%|1.07
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|26.50%|2.35
https://images.ygoprodeck.com/images/cards/10182251.jpg|Lyrilusc - Beryl Canary|23.50%|2.83
https://images.ygoprodeck.com/images/cards/46576366.jpg|Lyrilusc - Celestine Wagtail|23.50%|1.96
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|22.40%|2.14
https://images.ygoprodeck.com/images/cards/29587993.jpg|Mist Valley Apex Avian|21.40%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|18.40%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|18.40%|2.22
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|18.40%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|16.30%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|13.30%|2.92
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|12.20%|1.75
https://images.ygoprodeck.com/images/cards/2526224.jpg|Fire King High Avatar Kirin|11.20%|2.82
https://images.ygoprodeck.com/images/cards/90681088.jpg|Legendary Fire King Ponix|11.20%|2.64
https://images.ygoprodeck.com/images/cards/65305978.jpg|Fire King Sanctuary|11.20%|2.27
https://images.ygoprodeck.com/images/cards/57554544.jpg|Fire King Island|11.20%|1.91
https://images.ygoprodeck.com/images/cards/66431519.jpg|Sacred Fire King Garunix|11.20%|1.64
https://images.ygoprodeck.com/images/cards/14878871.jpg|Rescue Cat|10.20%|2.60
https://images.ygoprodeck.com/images/cards/18621798.jpg|Fire King Avatar Arvata|10.20%|1.60
https://images.ygoprodeck.com/images/cards/25451383.jpg|Albion the Shrouded Dragon|10.20%|1.50
https://images.ygoprodeck.com/images/cards/19096726.jpg|Tri-Brigade Mercourier|10.20%|1.00
https://images.ygoprodeck.com/images/cards/91703676.jpg|Fire King Sky Burn|10.20%|1.00
https://images.ygoprodeck.com/images/cards/69000994.jpg|Fire King Avatar Barong|10.20%|1.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|9.20%|2.89
https://images.ygoprodeck.com/images/cards/67723438.jpg|Emergency Teleport|9.20%|2.89
https://images.ygoprodeck.com/images/cards/83764718.jpg|Monster Reborn|9.20%|1.00
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|8.20%|2.62
https://images.ygoprodeck.com/images/cards/44362883.jpg|Branded Fusion|8.20%|1.88
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|8.20%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|7.10%|2.86
https://images.ygoprodeck.com/images/cards/95515789.jpg|Blazing Cartesia, the Virtuous|7.10%|2.14
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|7.10%|1.71
https://images.ygoprodeck.com/images/cards/17751597.jpg|Branded Retribution|7.10%|1.14
https://images.ygoprodeck.com/images/cards/82738008.jpg|Branded in Red|7.10%|1.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|6.10%|3.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|6.10%|3.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|6.10%|2.33
https://images.ygoprodeck.com/images/cards/45883110.jpg|Guiding Quem, the Virtuous|6.10%|2.33
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|6.10%|2.33
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|6.10%|1.67
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|6.10%|1.17
https://images.ygoprodeck.com/images/cards/61740673.jpg|Imperial Order|6.10%|1.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|6.10%|1.00
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|6.10%|1.00
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|5.10%|3.00
https://images.ygoprodeck.com/images/cards/86379342.jpg|Tri-Brigade Oath|5.10%|1.00
https://images.ygoprodeck.com/images/cards/45484331.jpg|Springans Kitt|5.10%|1.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|5.10%|1.00
https://images.ygoprodeck.com/images/cards/38910263.jpg|Fire King Avatar Rangbali|5.10%|1.00
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|5.10%|1.00
https://images.ygoprodeck.com/images/cards/34995106.jpg|Branded in White|5.10%|1.00
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|5.10%|1.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|4.10%|3.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|4.10%|3.00
https://images.ygoprodeck.com/images/cards/29948294.jpg|Branded in High Spirits|4.10%|3.00
