image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|50.60%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|46.00%|2.62
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|46.00%|2.55
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|44.80%|2.33
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|35.60%|2.39
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|33.30%|2.69
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|33.30%|1.90
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|28.70%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|25.30%|2.54
https://images.ygoprodeck.com/images/cards/87639778.jpg|Harpie's Feather Storm|23.00%|2.75
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|23.00%|2.10
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|20.70%|1.61
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|18.40%|2.44
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|17.20%|2.13
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|16.10%|2.07
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|14.90%|2.62
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|14.90%|2.46
https://images.ygoprodeck.com/images/cards/40975574.jpg|Red Resonator|14.90%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|12.60%|1.54
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|12.60%|1.09
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|11.50%|1.80
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|11.50%|1.70
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|9.20%|1.88
https://images.ygoprodeck.com/images/cards/61740673.jpg|Imperial Order|9.20%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|8.00%|1.71
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|8.00%|1.14
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|6.90%|2.67
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|6.90%|2.33
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|6.90%|1.67
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|6.90%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|5.70%|1.60
https://images.ygoprodeck.com/images/cards/11366199.jpg|Dark Simorgh|5.70%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|4.60%|2.75
https://images.ygoprodeck.com/images/cards/73304257.jpg|Alpha, the Master of Beasts|4.60%|2.25
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|4.60%|1.50
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|4.60%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|3.40%|3.00
https://images.ygoprodeck.com/images/cards/43534808.jpg|Token Collector|3.40%|2.67
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|3.40%|2.00
https://images.ygoprodeck.com/images/cards/36956512.jpg|Gadarla, the Mystery Dust Kaiju|3.40%|2.00
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|3.40%|1.67
https://images.ygoprodeck.com/images/cards/69750546.jpg|Volcanic Scattershot|3.40%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|3.40%|1.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|2.30%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|2.30%|2.50
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|2.30%|2.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|2.30%|2.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|2.30%|2.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|2.30%|2.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|2.30%|2.00
https://images.ygoprodeck.com/images/cards/69452756.jpg|Unending Nightmare|2.30%|1.50
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|2.30%|1.50
https://images.ygoprodeck.com/images/cards/64002884.jpg|Simorgh Repulsion|2.30%|1.50
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|2.30%|1.50
https://images.ygoprodeck.com/images/cards/40975243.jpg|Tri-Brigade Revolt|2.30%|1.00
https://images.ygoprodeck.com/images/cards/88836438.jpg|Spright Smashers|2.30%|1.00
https://images.ygoprodeck.com/images/cards/42431833.jpg|Spright Gamma Burst|2.30%|1.00
https://images.ygoprodeck.com/images/cards/68250822.jpg|Spright Double Cross|2.30%|1.00
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|2.30%|1.00
https://images.ygoprodeck.com/images/cards/66675911.jpg|Nehshaddoll Genius|2.30%|1.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|2.30%|1.00
https://images.ygoprodeck.com/images/cards/19261966.jpg|El Shaddoll Anoyatyllis|2.30%|1.00
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|2.30%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|1.10%|3.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|1.10%|3.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|1.10%|3.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|1.10%|3.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|1.10%|3.00
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|1.10%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|1.10%|3.00
https://images.ygoprodeck.com/images/cards/87170768.jpg|"Contact ""C"""|1.10%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|1.10%|3.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|1.10%|3.00
https://images.ygoprodeck.com/images/cards/8233522.jpg|Ally of Justice Cycle Reader|1.10%|3.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|1.10%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|1.10%|2.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|1.10%|2.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|1.10%|2.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|1.10%|2.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|1.10%|2.00
https://images.ygoprodeck.com/images/cards/92223430.jpg|Elborz, the Sacred Lands of Simorgh|1.10%|2.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|1.10%|1.00
https://images.ygoprodeck.com/images/cards/86379342.jpg|Tri-Brigade Oath|1.10%|1.00
https://images.ygoprodeck.com/images/cards/48770333.jpg|Thunder King, the Lightningstrike Kaiju|1.10%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|1.10%|1.00
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|1.10%|1.00
https://images.ygoprodeck.com/images/cards/6556909.jpg|Red-Eyes Soul|1.10%|1.00
https://images.ygoprodeck.com/images/cards/5318639.jpg|Mystical Space Typhoon|1.10%|1.00
https://images.ygoprodeck.com/images/cards/29587993.jpg|Mist Valley Apex Avian|1.10%|1.00
https://images.ygoprodeck.com/images/cards/6855503.jpg|Masquerade the Blazing Dragon|1.10%|1.00
https://images.ygoprodeck.com/images/cards/56619778.jpg|Lyrilusc - Bird Strike|1.10%|1.00
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|1.10%|1.00
https://images.ygoprodeck.com/images/cards/62015409.jpg|Ghost Reaper & Winter Cherries|1.10%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|1.10%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|1.10%|1.00
https://images.ygoprodeck.com/images/cards/32756828.jpg|Branded Beast|1.10%|1.00
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|1.10%|1.00
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|1.10%|1.00
