image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|100.00%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|100.00%|2.09
https://images.ygoprodeck.com/images/cards/80801743.jpg|Abominable Chamber of the Unchained|100.00%|1.91
https://images.ygoprodeck.com/images/cards/53417695.jpg|Escape of the Unchained|100.00%|1.82
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|90.90%|2.90
https://images.ygoprodeck.com/images/cards/26236560.jpg|Unchained Twins - Aruha|90.90%|2.60
https://images.ygoprodeck.com/images/cards/31588572.jpg|Unchained Twins - Sarama|90.90%|1.10
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|90.90%|1.00
https://images.ygoprodeck.com/images/cards/88554436.jpg|Unchained Soul of Shyama|90.90%|1.00
https://images.ygoprodeck.com/images/cards/27412542.jpg|Abomination's Prison|90.90%|3.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|90.90%|2.30
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|90.90%|2.30
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|72.70%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|72.70%|2.50
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|72.70%|1.00
https://images.ygoprodeck.com/images/cards/1966438.jpg|Abominable Unchained Soul|54.50%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|54.50%|2.67
https://images.ygoprodeck.com/images/cards/35552985.jpg|Fiendsmith's Sanct|54.50%|1.00
https://images.ygoprodeck.com/images/cards/31629407.jpg|Magical Musketeer Starfire|45.50%|3.00
https://images.ygoprodeck.com/images/cards/10802915.jpg|Tour Guide From the Underworld|45.50%|3.00
https://images.ygoprodeck.com/images/cards/81035362.jpg|Fiendish Rhino Warrior|45.50%|1.00
https://images.ygoprodeck.com/images/cards/68024506.jpg|Magical Musketeer Calamity|45.50%|1.00
https://images.ygoprodeck.com/images/cards/89019964.jpg|Unchained Soul of Disaster|45.50%|1.00
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|45.50%|1.00
https://images.ygoprodeck.com/images/cards/53624265.jpg|Unchained Twins - Rakea|36.40%|1.75
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|36.40%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|27.30%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|27.30%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|18.20%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|18.20%|2.00
https://images.ygoprodeck.com/images/cards/24215921.jpg|Gruesome Grave Squirmer|18.20%|2.00
https://images.ygoprodeck.com/images/cards/62318994.jpg|Samsara D Lotus|18.20%|2.00
https://images.ygoprodeck.com/images/cards/90829280.jpg|Spirit of Yubel|18.20%|2.00
https://images.ygoprodeck.com/images/cards/78371393.jpg|Yubel|18.20%|1.00
https://images.ygoprodeck.com/images/cards/93729896.jpg|Nightmare Throne|18.20%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|18.20%|2.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|18.20%|2.00
https://images.ygoprodeck.com/images/cards/65261141.jpg|Nightmare Pain|18.20%|1.50
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|18.20%|1.00
https://images.ygoprodeck.com/images/cards/54807656.jpg|Wailing of the Unchained Souls|18.20%|1.00
https://images.ygoprodeck.com/images/cards/81034083.jpg|Dark Beckoning Beast|9.10%|3.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|9.10%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|9.10%|1.00
https://images.ygoprodeck.com/images/cards/25857977.jpg|D/D/D Vice King Requiem|9.10%|1.00
https://images.ygoprodeck.com/images/cards/4779091.jpg|Yubel - Terror Incarnate|9.10%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|9.10%|3.00
https://images.ygoprodeck.com/images/cards/46372010.jpg|Dark Contract with the Gate|9.10%|3.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|9.10%|1.00
https://images.ygoprodeck.com/images/cards/80312545.jpg|Opening of the Spirit Gates|9.10%|1.00
https://images.ygoprodeck.com/images/cards/28958464.jpg|"Spell Card ""Monster Reborn"""|9.10%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|9.10%|1.00
