image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|92.90%|2.54
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|71.40%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|64.30%|2.44
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|64.30%|2.11
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|64.30%|1.67
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|57.10%|1.88
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|57.10%|1.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|50.00%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|35.70%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|35.70%|1.80
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|28.60%|2.75
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|28.60%|2.25
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|21.40%|3.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|14.30%|2.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|14.30%|2.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|14.30%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|7.10%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|7.10%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|7.10%|1.00
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|7.10%|1.00
https://images.ygoprodeck.com/images/cards/7375867.jpg|Dragon Tail Mulr|7.10%|1.00
https://images.ygoprodeck.com/images/cards/70871153.jpg|Dragon Tail Urgula|7.10%|1.00
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|7.10%|1.00
https://images.ygoprodeck.com/images/cards/6153210.jpg|Ketu Dragon Tail|7.10%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|7.10%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|7.10%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|7.10%|3.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|7.10%|1.00
https://images.ygoprodeck.com/images/cards/53330789.jpg|Vanquish Soul Trinity Burst|7.10%|1.00
