image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/73898890.jpg|Dyna Mondo|100.00%|1.33
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|100.00%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|83.30%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|66.70%|1.00
https://images.ygoprodeck.com/images/cards/1174075.jpg|Drytron Mu Beta Fafnir|50.00%|2.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|50.00%|1.33
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|50.00%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|50.00%|1.00
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|50.00%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|50.00%|1.00
https://images.ygoprodeck.com/images/cards/79606837.jpg|Herald of the Arc Light|50.00%|1.00
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|50.00%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|50.00%|1.00
https://images.ygoprodeck.com/images/cards/85289965.jpg|Borrelsword Dragon|50.00%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|50.00%|1.00
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|33.30%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|33.30%|1.00
https://images.ygoprodeck.com/images/cards/46935289.jpg|Herald of Mirage Lights|33.30%|1.00
https://images.ygoprodeck.com/images/cards/87746184.jpg|Albion the Branded Dragon|16.70%|2.00
https://images.ygoprodeck.com/images/cards/26847978.jpg|Tri-Brigade Ferrijit the Barren Blossom|16.70%|1.00
https://images.ygoprodeck.com/images/cards/41373230.jpg|Titaniklad the Ash Dragon|16.70%|1.00
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|16.70%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|16.70%|1.00
https://images.ygoprodeck.com/images/cards/2220237.jpg|Secure Gardna|16.70%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|16.70%|1.00
https://images.ygoprodeck.com/images/cards/63265554.jpg|Power Tool Braver Dragon|16.70%|1.00
https://images.ygoprodeck.com/images/cards/65305468.jpg|Number F0: Utopic Future|16.70%|1.00
https://images.ygoprodeck.com/images/cards/26973555.jpg|Number F0: Utopic Draco Future|16.70%|1.00
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|16.70%|1.00
https://images.ygoprodeck.com/images/cards/41578483.jpg|Millennium-Eyes Restrict|16.70%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|16.70%|1.00
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|16.70%|1.00
https://images.ygoprodeck.com/images/cards/24915933.jpg|Granguignol the Dusk Dragon|16.70%|1.00
https://images.ygoprodeck.com/images/cards/62111090.jpg|Earth Golem @Ignister|16.70%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|16.70%|1.00
https://images.ygoprodeck.com/images/cards/53971455.jpg|Despian Luluwalilith|16.70%|1.00
https://images.ygoprodeck.com/images/cards/15982593.jpg|Centur-Ion Legatia|16.70%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|16.70%|1.00
https://images.ygoprodeck.com/images/cards/38811586.jpg|Albion the Sanctifire Dragon|16.70%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|16.70%|1.00
https://images.ygoprodeck.com/images/cards/30983281.jpg|Accel Synchro Stardust Dragon|16.70%|1.00
