image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|86.70%|2.81
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|80.00%|1.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|73.30%|2.32
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|60.00%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|50.00%|1.33
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|50.00%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|43.30%|2.23
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|43.30%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|40.00%|1.83
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|40.00%|1.92
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|36.70%|1.73
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|30.00%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|30.00%|2.00
https://images.ygoprodeck.com/images/cards/87126721.jpg|Mulcharmy Meowls|26.70%|2.12
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|16.70%|2.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|16.70%|2.20
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|16.70%|2.40
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|13.30%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|13.30%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|10.00%|1.00
https://images.ygoprodeck.com/images/cards/24081957.jpg|Sinful Spoils of Subversion - Snake-Eye|10.00%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|10.00%|2.67
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|6.70%|1.50
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|6.70%|2.00
https://images.ygoprodeck.com/images/cards/14883228.jpg|Typhoon|6.70%|2.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|3.30%|2.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|3.30%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|3.30%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|3.30%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|3.30%|1.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|3.30%|3.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|3.30%|2.00
https://images.ygoprodeck.com/images/cards/25789292.jpg|Forbidden Chalice|3.30%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|3.30%|1.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|3.30%|1.00
https://images.ygoprodeck.com/images/cards/18895832.jpg|System Down|3.30%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|3.30%|3.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|3.30%|2.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|3.30%|2.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|3.30%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|3.30%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|3.30%|1.00
https://images.ygoprodeck.com/images/cards/85442146.jpg||3.30%|2.00
https://images.ygoprodeck.com/images/cards/4731783.jpg|A Bao A Qu, the Lightless Shadow|3.30%|1.00
