image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|100.00%|1.00
https://images.ygoprodeck.com/images/cards/14307929.jpg|Diabell, Queen of the White Forest|100.00%|1.00
https://images.ygoprodeck.com/images/cards/77313225.jpg|Rciela, Sinister Soul of the White Forest|100.00%|1.00
https://images.ygoprodeck.com/images/cards/41924516.jpg|Silvera, Wolf Tamer of the White Forest|100.00%|1.00
https://images.ygoprodeck.com/images/cards/73391962.jpg||100.00%|1.00
https://images.ygoprodeck.com/images/cards/46396218.jpg|Azamina Ilia Silvia|100.00%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|85.70%|1.00
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|71.40%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|71.40%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|71.40%|1.00
https://images.ygoprodeck.com/images/cards/11321089.jpg|Guardian Chimera|71.40%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|71.40%|1.00
https://images.ygoprodeck.com/images/cards/4731783.jpg|A-Bao A Qu, the Lightless Shadow|57.10%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|42.90%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|42.90%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|42.90%|1.00
https://images.ygoprodeck.com/images/cards/11464648.jpg||42.90%|1.00
https://images.ygoprodeck.com/images/cards/50277355.jpg|Cross-Sheep|28.60%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|28.60%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|28.60%|1.00
https://images.ygoprodeck.com/images/cards/72329844.jpg|Spright Sprind|28.60%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|14.30%|1.00
https://images.ygoprodeck.com/images/cards/7480763.jpg|Artifact Dagda|14.30%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|14.30%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|14.30%|1.00
https://images.ygoprodeck.com/images/cards/84013237.jpg|Number 39: Utopia|14.30%|1.00
https://images.ygoprodeck.com/images/cards/62517849.jpg|Number 39: Utopia Double|14.30%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|14.30%|1.00
https://images.ygoprodeck.com/images/cards/32991300.jpg||14.30%|1.00
