image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|82.50%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|70.00%|1.77
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|57.50%|2.15
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|48.80%|2.56
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|45.00%|2.22
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|37.50%|2.53
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|31.20%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|31.20%|1.56
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|28.80%|2.04
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|28.80%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|25.00%|1.20
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|23.80%|1.58
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|23.80%|1.26
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|22.50%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|20.00%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|20.00%|1.38
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|20.00%|2.12
https://images.ygoprodeck.com/images/cards/53417695.jpg|Escape of the Unchained|18.80%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|16.20%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|15.00%|1.50
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|15.00%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|15.00%|1.83
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|15.00%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|13.80%|1.46
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|12.50%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|12.50%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|11.20%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|11.20%|1.44
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|11.20%|1.22
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|10.00%|1.38
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|10.00%|1.25
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|8.80%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|8.80%|1.29
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|7.50%|3.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|7.50%|2.50
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|7.50%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|7.50%|1.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|6.20%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|6.20%|2.20
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|6.20%|1.80
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|5.00%|2.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|5.00%|1.00
