image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/80453041.jpg|Phantom of Yubel|100.00%|2.31
https://images.ygoprodeck.com/images/cards/24269961.jpg|Unchained Soul Lord of Yama|100.00%|1.04
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|98.10%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|98.10%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|98.10%|1.00
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|98.10%|1.00
https://images.ygoprodeck.com/images/cards/67680512.jpg|Unchained Soul of Rage|98.10%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|96.30%|1.00
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|96.30%|1.00
https://images.ygoprodeck.com/images/cards/70636044.jpg|Varudras, the Final Bringer of the End Times|87.00%|1.00
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|79.60%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|75.90%|1.02
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|75.90%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|25.90%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|7.40%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|5.60%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|3.70%|1.00
https://images.ygoprodeck.com/images/cards/29479265.jpg|Unchained Abomination|3.70%|1.00
https://images.ygoprodeck.com/images/cards/4731783.jpg|A-Bao A Qu, the Lightless Shadow|1.90%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|1.90%|1.00
https://images.ygoprodeck.com/images/cards/7480763.jpg|Artifact Dagda|1.90%|1.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|1.90%|1.00
https://images.ygoprodeck.com/images/cards/54191698.jpg|Number 29: Mannequin Cat|1.90%|1.00
https://images.ygoprodeck.com/images/cards/61665245.jpg|Summon Sorceress|1.90%|1.00
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|1.90%|1.00
https://images.ygoprodeck.com/images/cards/32991300.jpg||1.90%|1.00
